index,Date,Open,High,Low,Close,Volume
1,2009-12-02,6261.2797851562,6392.7998046875,6261.2797851562,6384.419921875,48108628
2,2009-12-05,6415.0297851562,6437.9799804688,6366.759765625,6379.1801757812,44345996
3,2009-12-06,6356.9501953125,6356.9501953125,6280.3100585938,6322.8999023438,39504192
4,2009-12-07,6322.5400390625,6394.8198242188,6322.08984375,6365.1801757812,44669584
5,2009-12-08,6337.6098632812,6337.6098632812,6129.16015625,6132.7998046875,83596984
6,2009-12-09,6142.3198242188,6202.0297851562,6142.3198242188,6192.7998046875,47226640
7,2009-12-12,6399.2900390625,6590.3198242188,6399.2900390625,6580.4399414062,74222848
8,2009-12-13,6670.9702148438,6708.1201171875,6609.0297851562,6609.0297851562,80818056
9,2009-12-14,6543.2099609375,6543.2099609375,6483.2900390625,6483.2900390625,85372248
10,2009-12-15,6478.2998046875,6527.16015625,6478.2998046875,6484.9501953125,50953340
11,2009-12-16,6468.3798828125,6477.8598632812,6424.3798828125,6477.8598632812,65536432
12,2009-12-19,6499.1401367188,6534.8598632812,6493.5200195312,6496.580078125,39395152
13,2009-12-20,6491.9702148438,6491.9702148438,6411.5498046875,6411.7001953125,62595728
14,2009-12-21,6428.419921875,6517.3500976562,6428.419921875,6443.2700195312,40425012
15,2009-12-22,6421.1000976562,6421.3798828125,6371.1801757812,6393.5400390625,38343036
16,2009-12-23,6397.5297851562,6429.1298828125,6380.3500976562,6380.4399414062,38881952
17,2009-12-26,6388.830078125,6401.240234375,6277.0200195312,6277.0200195312,37333648
18,2009-12-27,6249.7998046875,6250.1201171875,6124.4399414062,6153.8500976562,42772776
19,2009-12-28,6178.6801757812,6259.6201171875,6178.6801757812,6257.8798828125,28453388
20,2009-12-29,6274.2700195312,6295.6401367188,6198.3500976562,6198.3500976562,35741304
21,2009-12-30,6190.9301757812,6209.16015625,6185.919921875,6208.7700195312,47137388
22,2010-01-02,6214.2797851562,6273.7299804688,6208.33984375,6272.0,41352416
23,2010-01-03,6274.8198242188,6333.3100585938,6272.6098632812,6323.8999023438,70571760
24,2010-01-04,6350.4301757812,6430.4702148438,6349.1298828125,6420.490234375,57499852
25,2010-01-05,6411.1298828125,6451.919921875,6407.2299804688,6436.8701171875,86150992
26,2010-01-09,6467.419921875,6510.8100585938,6467.419921875,6476.1899414062,69896640
27,2010-01-10,6454.3798828125,6463.0498046875,6436.5400390625,6459.3798828125,100632352
28,2010-01-11,6460.8500976562,6543.7998046875,6460.8500976562,6534.7998046875,73829024
29,2010-01-12,6569.3598632812,6613.6201171875,6551.0400390625,6581.58984375,85906736
30,2010-01-13,6610.6000976562,6680.7998046875,6610.6000976562,6680.7998046875,77931248
31,2010-01-16,6704.4702148438,6751.0600585938,6697.3701171875,6697.3701171875,74237096
32,2010-01-17,6671.6201171875,6725.2797851562,6656.919921875,6725.2797851562,79509352
33,2010-01-18,6784.6298828125,6858.8198242188,6784.0297851562,6833.259765625,119165192
34,2010-01-19,6823.7998046875,6893.5698242188,6822.759765625,6888.4501953125,75515592
35,2010-01-20,6866.0,6867.7202148438,6826.7797851562,6864.1899414062,93801048
36,2010-01-23,6777.7998046875,6777.7998046875,6657.419921875,6657.419921875,96296072
37,2010-01-25,6623.33984375,6623.6000976562,6551.0,6569.4702148438,66451752
38,2010-01-26,6569.919921875,6593.330078125,6558.3100585938,6586.669921875,62672336
39,2010-01-27,6636.0,6698.830078125,6636.0,6696.0698242188,64583868
40,2010-01-30,6865.6499023438,6908.9399414062,6756.1401367188,6756.1401367188,86450848
41,2010-01-31,6713.8999023438,6801.66015625,6699.5400390625,6801.66015625,54901296
42,2010-02-01,6845.759765625,6927.669921875,6845.759765625,6926.8598632812,65541984
43,2010-02-02,6976.5498046875,7045.3198242188,6976.4501953125,7037.9702148438,83908784
44,2010-02-03,7012.5,7055.08984375,6979.2001953125,6979.2001953125,71280312
45,2010-02-06,6832.66015625,6832.66015625,6781.7797851562,6827.490234375,49937680
46,2010-02-07,6876.3500976562,7017.4399414062,6876.3500976562,6998.2797851562,79441768
47,2010-02-08,6977.66015625,6977.66015625,6932.0297851562,6947.0297851562,60525704
48,2010-02-09,7009.009765625,7031.490234375,6933.1899414062,6933.91015625,61894956
49,2010-02-10,6927.2202148438,6946.5698242188,6904.3198242188,6933.0400390625,61678560
50,2010-02-13,6958.8701171875,7025.1000976562,6958.8701171875,7008.8198242188,50440752
51,2010-02-14,7039.509765625,7058.7299804688,7019.0400390625,7019.4702148438,61694768
52,2010-02-15,7024.3999023438,7076.6000976562,7015.5400390625,7062.66015625,79744912
53,2010-02-16,7037.8198242188,7058.2299804688,6973.7299804688,6973.7299804688,69621712
54,2010-02-17,6953.3500976562,6953.4702148438,6860.7001953125,6860.7001953125,50515144
55,2010-02-20,6831.2001953125,6831.2001953125,6708.4501953125,6708.4501953125,50864432
56,2010-02-21,6712.169921875,6716.1899414062,6671.2202148438,6702.1401367188,58381752
57,2010-02-22,6708.2001953125,6724.75,6574.5698242188,6574.5698242188,82162560
58,2010-02-23,6568.009765625,6608.2001953125,6543.8500976562,6608.2001953125,73875544
59,2010-02-24,6668.7202148438,6719.990234375,6668.7202148438,6719.3500976562,72524680
60,2010-02-27,6670.7099609375,6692.8100585938,6632.5400390625,6632.5400390625,64004952
61,2010-02-28,6628.2099609375,6695.580078125,6625.7797851562,6650.5498046875,58244440
62,2010-03-01,6659.5,6675.759765625,6631.990234375,6675.669921875,58951352
63,2010-03-02,6710.3598632812,6784.009765625,6710.3598632812,6783.3798828125,84471680
64,2010-03-03,6816.6801757812,6842.5698242188,6783.830078125,6783.830078125,95414744
65,2010-03-06,6779.8901367188,6807.75,6767.3901367188,6807.3999023438,50945772
66,2010-03-07,6782.0297851562,6786.3701171875,6762.0,6773.9301757812,55195212
67,2010-03-08,6769.6899414062,6770.2900390625,6684.5600585938,6690.91015625,59520736
68,2010-03-09,6720.1298828125,6776.080078125,6715.8500976562,6775.7998046875,49055452
69,2010-03-10,6782.330078125,6831.2700195312,6769.080078125,6769.080078125,57352552
70,2010-03-13,6761.5,6761.5,6606.8100585938,6606.8100585938,69531032
71,2010-03-14,6571.509765625,6579.169921875,6353.1401367188,6353.1401367188,82986624
72,2010-03-15,6339.7299804688,6465.740234375,6295.6000976562,6465.6499023438,60783384
73,2010-03-16,6521.7900390625,6589.9399414062,6521.5600585938,6560.330078125,69129768
74,2010-03-17,6534.8100585938,6611.25,6504.0498046875,6610.419921875,69399008
75,2010-03-20,6609.5297851562,6616.8598632812,6553.7797851562,6553.7797851562,33928204
76,2010-03-21,6545.1201171875,6567.75,6506.240234375,6518.509765625,49899792
77,2010-03-22,6473.8100585938,6659.1401367188,6463.580078125,6659.1401367188,117866224
78,2010-03-23,6726.91015625,6776.8100585938,6716.7700195312,6716.7700195312,82131536
79,2010-03-24,6699.9702148438,6765.259765625,6695.3798828125,6765.259765625,72631968
80,2010-03-27,6788.16015625,6850.0400390625,6783.9501953125,6846.75,68910544
81,2010-03-28,6862.2700195312,6896.6000976562,6855.25,6855.25,88868816
82,2010-03-29,6828.3798828125,6832.9501953125,6794.5698242188,6820.9301757812,52715824
83,2010-03-30,6833.490234375,6844.2299804688,6799.8100585938,6806.1098632812,67706360
84,2010-03-31,6806.5600585938,6867.8100585938,6800.1298828125,6863.4301757812,66265080
85,2010-04-05,6906.509765625,7057.9301757812,6906.509765625,7051.1098632812,89715408
86,2010-04-06,7060.669921875,7142.4301757812,7044.6298828125,7142.3798828125,146797168
87,2010-04-07,7230.7202148438,7249.0600585938,7204.58984375,7248.6098632812,205375840
88,2010-04-10,7398.7700195312,7453.0400390625,7398.7700195312,7447.919921875,181155328
89,2010-04-11,7477.8198242188,7544.33984375,7477.8198242188,7515.0600585938,145863520
90,2010-04-12,7481.7700195312,7485.990234375,7413.4599609375,7428.1401367188,143990528
