index,Date,Open,High,Low,Close,Volume
1,2009-12-02,12909.0,13122.099609375,12363.900390625,12363.900390625,n/a
2,2009-12-03,12217.599609375,12488.799804688,11940.400390625,12488.799804688,n/a
3,2009-12-06,12400.799804688,12400.799804688,12021.400390625,12026.200195312,n/a
4,2009-12-07,12063.400390625,12086.799804688,11175.099609375,11176.5,n/a
5,2009-12-08,11093.700195312,11093.700195312,10586.5,10734.200195312,n/a
6,2009-12-09,10829.900390625,11407.0,10715.900390625,11374.099609375,n/a
7,2009-12-10,11438.599609375,11708.099609375,10878.400390625,10979.099609375,n/a
8,2009-12-13,11118.900390625,11366.5,10966.599609375,11365.5,n/a
9,2009-12-14,11260.099609375,11338.599609375,11037.200195312,11068.700195312,n/a
10,2009-12-15,11037.200195312,11422.299804688,10970.200195312,11422.299804688,n/a
11,2009-12-16,11381.299804688,11381.299804688,11097.799804688,11262.200195312,n/a
12,2009-12-17,11297.200195312,11326.400390625,11054.400390625,11070.599609375,n/a
13,2009-12-20,11115.700195312,11128.299804688,10811.200195312,10826.200195312,n/a
14,2009-12-21,10888.700195312,11401.599609375,10883.799804688,11357.700195312,n/a
15,2009-12-22,11492.099609375,11595.5,11359.299804688,11361.0,n/a
16,2009-12-27,11403.5,11535.599609375,11362.599609375,11362.599609375,n/a
17,2009-12-28,11376.200195312,11401.799804688,11240.5,11284.799804688,n/a
18,2009-12-29,11254.599609375,11304.299804688,11182.299804688,11222.099609375,n/a
19,2009-12-30,11270.599609375,11348.0,11225.900390625,11253.799804688,n/a
20,2010-01-03,11336.200195312,11336.200195312,11172.900390625,11180.5,n/a
21,2010-01-04,11199.5,11744.900390625,11177.5,11730.799804688,n/a
22,2010-01-06,11731.299804688,12060.400390625,11603.0,11914.099609375,n/a
23,2010-01-07,11948.900390625,12101.799804688,11754.400390625,12029.099609375,n/a
24,2010-01-10,12157.599609375,12293.200195312,11940.400390625,11940.400390625,n/a
25,2010-01-11,11842.599609375,11872.700195312,11157.400390625,11259.5,n/a
