index,Date,Open,High,Low,Close,Volume
1,2009-12-02,2471.1499023438,2502.5500488281,2471.1499023438,2500.0400390625,5125549056
2,2009-12-03,2499.6201171875,2512.6599121094,2484.8999023438,2511.5500488281,3597232384
3,2009-12-06,2511.9499511719,2516.1799316406,2478.580078125,2483.7600097656,2799365120
4,2009-12-07,2484.2800292969,2497.5100097656,2470.2399902344,2483.8898925781,2944876544
5,2009-12-08,2483.7900390625,2485.8400878906,2462.8798828125,2481.3000488281,3114633984
6,2009-12-09,2481.5,2492.3100585938,2476.5700683594,2486.4399414062,2809715456
7,2009-12-10,2485.8200683594,2519.1000976562,2485.8200683594,2519.1000976562,3069507584
8,2009-12-13,2519.3000488281,2519.3000488281,2492.4499511719,2506.3898925781,3330568960
9,2009-12-14,2505.5900878906,2510.2900390625,2481.6999511719,2494.7399902344,3573057024
10,2009-12-15,2495.0500488281,2523.1899414062,2482.4399414062,2522.5500488281,3961157376
11,2009-12-16,2522.6499023438,2542.5,2505.9699707031,2509.580078125,3394306560
12,2009-12-20,2508.9599609375,2509.3798828125,2415.3500976562,2431.3898925781,2853884928
13,2009-12-21,2432.2199707031,2468.7900390625,2432.2199707031,2467.6398925781,2342711040
14,2009-12-22,2467.8400878906,2476.5700683594,2456.2099609375,2474.8798828125,1932946048
15,2009-12-27,2475.0900878906,2512.2199707031,2475.0900878906,2509.6899414062,2369070592
16,2009-12-28,2511.2600097656,2520.8601074219,2504.8701171875,2518.9899902344,2212690944
17,2009-12-29,2520.3000488281,2534.3601074219,2519.0100097656,2534.3601074219,1986381440
18,2010-01-03,2533.9499511719,2576.0600585938,2532.8999023438,2575.4099121094,1833929472
19,2010-01-04,2575.6201171875,2606.0700683594,2575.6201171875,2605.2800292969,5704380416
20,2010-01-05,2605.4799804688,2622.1201171875,2587.7099609375,2603.3000488281,5156908544
21,2010-01-06,2603.5,2611.6000976562,2570.2700195312,2586.8898925781,4551081984
22,2010-01-07,2586.7900390625,2614.5400390625,2583.8500976562,2614.3701171875,7372352000
23,2010-01-10,2615.6101074219,2649.1999511719,2615.6101074219,2632.1999511719,5289124352
24,2010-01-11,2632.3100585938,2659.9799804688,2623.7700195312,2659.5500488281,5749734912
25,2010-01-12,2657.8999023438,2657.8999023438,2623.4599609375,2632.8701171875,4268552960
26,2010-01-13,2633.580078125,2661.9299316406,2633.580078125,2645.1799316406,5312622080
27,2010-01-14,2646.75,2655.8100585938,2638.3601074219,2647.0900878906,4764380160
28,2010-01-17,2645.4399414062,2648.919921875,2629.9099121094,2642.5500488281,3086150400
29,2010-01-18,2642.3500976562,2666.5700683594,2640.1799316406,2666.0700683594,3276803072
30,2010-01-19,2666.580078125,2689.7800292969,2655.0,2667.2700195312,3699558400
31,2010-01-20,2664.6599121094,2664.6599121094,2621.3601074219,2638.3798828125,3243842048
32,2010-01-21,2636.9599609375,2636.9599609375,2580.169921875,2610.3400878906,3669307904
33,2010-01-24,2609.7299804688,2609.7299804688,2575.9599609375,2597.8601074219,3366938880
34,2010-01-25,2597.3500976562,2608.7399902344,2568.9499511719,2578.4099121094,4214295552
35,2010-01-26,2577.9099121094,2594.25,2554.8798828125,2564.5500488281,2601012992
36,2010-01-27,2565.3798828125,2619.9799804688,2565.3798828125,2619.5700683594,3355152896
37,2010-01-28,2619.2600097656,2619.2600097656,2569.2700195312,2610.8000488281,2171197952
38,2010-01-31,2610.5900878906,2610.5900878906,2571.7600097656,2587.5500488281,3231962112
39,2010-02-01,2588.2600097656,2613.669921875,2574.1101074219,2580.25,3063307008
40,2010-02-02,2580.6599121094,2606.2800292969,2580.6599121094,2604.5500488281,3827196928
41,2010-02-03,2604.75,2610.3701171875,2589.0500488281,2593.2199707031,3802638080
42,2010-02-04,2592.4099121094,2592.4099121094,2506.8898925781,2518.9799804688,3484292608
43,2010-02-07,2518.6101074219,2518.6101074219,2431.8400878906,2475.5700683594,3685071616
44,2010-02-08,2474.75,2490.1101074219,2439.9099121094,2489.4899902344,3270474496
45,2010-02-09,2490.2900390625,2511.7399902344,2474.3999023438,2483.4399414062,2650155520
46,2010-02-10,2483.6398925781,2508.2600097656,2468.8500976562,2507.75,4091696128
47,2010-02-11,2508.1499023438,2536.5700683594,2501.9899902344,2534.1398925781,3530855424
48,2010-02-14,2533.7299804688,2533.7299804688,2510.9599609375,2517.4599609375,1674367488
49,2010-02-15,2517.6599121094,2558.6599121094,2516.3400878906,2558.5100097656,2230198016
50,2010-02-16,2558.6101074219,2581.6000976562,2558.6101074219,2581.3400878906,3568041984
51,2010-02-17,2581.4399414062,2581.4399414062,2550.5300292969,2560.0300292969,2630467072
52,2010-02-18,2559.9299316406,2559.9299316406,2527.7399902344,2554.3798828125,2192540928
53,2010-02-21,2554.7800292969,2574.9699707031,2553.8100585938,2564.2600097656,1902848000
54,2010-02-22,2564.1599121094,2583.6999511719,2538.0300292969,2583.6499023438,3265587456
55,2010-02-23,2582.419921875,2582.419921875,2555.4699707031,2579.419921875,4008322560
56,2010-02-24,2579.3200683594,2583.1599121094,2536.0900878906,2549.0300292969,2365084416
57,2010-02-28,2548.830078125,2565.4399414062,2545.8898925781,2554.669921875,1898504960
58,2010-03-01,2554.4699707031,2577.0900878906,2554.4699707031,2576.5900878906,2535062016
59,2010-03-02,2577.0,2585.830078125,2552.8500976562,2567.0900878906,3424541440
60,2010-03-03,2566.9899902344,2579.5300292969,2557.3701171875,2565.6398925781,2498740992
61,2010-03-04,2566.0500488281,2583.0900878906,2566.0500488281,2578.7700195312,2541829120
62,2010-03-07,2578.9699707031,2627.6999511719,2578.9699707031,2626.4499511719,2981360896
63,2010-03-08,2626.25,2657.3798828125,2624.1101074219,2657.169921875,3040865024
64,2010-03-09,2656.8601074219,2676.2700195312,2652.8500976562,2670.2199707031,3018129408
65,2010-03-10,2670.1201171875,2687.1201171875,2661.9299316406,2676.5200195312,4084708096
66,2010-03-11,2676.1101074219,2686.2399902344,2661.0600585938,2666.5100097656,5272403456
67,2010-03-14,2666.4099121094,2683.1101074219,2658.5500488281,2669.6101074219,2951809536
68,2010-03-16,2669.4099121094,2756.2600097656,2669.4099121094,2756.2600097656,6571927040
69,2010-03-17,2756.4599609375,2779.3601074219,2718.3100585938,2737.2399902344,6031141376
70,2010-03-18,2738.8000488281,2758.1298828125,2725.6499023438,2742.9699707031,3876427008
71,2010-03-21,2742.669921875,2742.669921875,2698.2600097656,2702.3999023438,3425103872
72,2010-03-22,2702.6000976562,2746.1398925781,2702.6000976562,2720.8601074219,2746669568
73,2010-03-23,2721.1599121094,2774.8500976562,2721.1599121094,2774.8500976562,3323996928
74,2010-03-24,2773.3000488281,2814.8601074219,2760.1999511719,2799.1499023438,4202231552
75,2010-03-25,2799.25,2813.080078125,2792.3601074219,2813.080078125,4013816064
76,2010-03-28,2813.4899902344,2813.8000488281,2780.4299316406,2794.7700195312,4615285248
77,2010-03-29,2795.1799316406,2818.9399414062,2787.5100097656,2798.2700195312,4137396992
78,2010-03-30,2798.6799316406,2809.4699707031,2758.2600097656,2777.3000488281,4173625088
79,2010-03-31,2777.6999511719,2834.2399902344,2777.6999511719,2830.0,4205110528
80,2010-04-04,2831.0300292969,2890.1799316406,2831.0300292969,2887.25,4419231744
81,2010-04-05,2888.8100585938,2911.4599609375,2871.75,2880.9699707031,8445811712
82,2010-04-06,2881.3701171875,2916.1101074219,2881.3701171875,2898.580078125,6577802752
83,2010-04-07,2898.1799316406,2898.1799316406,2837.3999023438,2850.830078125,5132381696
84,2010-04-08,2850.6298828125,2870.9699707031,2833.2399902344,2845.0100097656,4239329024
85,2010-04-11,2845.6101074219,2882.7099609375,2845.6101074219,2881.330078125,5048496640
86,2010-04-12,2881.0300292969,2884.9499511719,2856.25,2884.6999511719,4987644928
87,2010-04-13,2884.8999023438,2897.330078125,2875.25,2885.0100097656,5044259840
88,2010-04-14,2885.1201171875,2913.7199707031,2885.1201171875,2900.5300292969,5718624256
89,2010-04-15,2900.830078125,2903.2800292969,2860.9299316406,2878.669921875,3631203584
90,2010-04-18,2877.9699707031,2877.9699707031,2811.7900390625,2840.4299316406,3762311936
91,2010-04-19,2840.6298828125,2892.6201171875,2840.6298828125,2891.2700195312,4073594112
92,2010-04-20,2891.4699707031,2916.5500488281,2891.4699707031,2912.830078125,6544607744
