index,Date,Open,High,Low,Close,Volume
0,2010-05-18,1329.0500488281,1329.0500488281,1306.6600341797,1308.2299804688,112262704
1,2010-05-19,1304.8599853516,1309.1300048828,1300.4399414062,1304.1600341797,128742096
2,2010-05-20,1290.5100097656,1290.5100097656,1280.6300048828,1285.7299804688,158857904
3,2010-05-23,1282.9599609375,1282.9599609375,1264.1099853516,1273.6899414062,123743104
4,2010-05-24,1264.9699707031,1265.7800292969,1247.8499755859,1250.1300048828,182583904
5,2010-05-25,1256.1600341797,1260.2700195312,1247.3499755859,1248.9399414062,194649696
6,2010-05-26,1244.5400390625,1269.4200439453,1243.8599853516,1269.1600341797,102771296
7,2010-05-30,1276.4300537109,1285.0200195312,1271.5500488281,1285.0100097656,148750208
8,2010-05-31,1284.25,1284.25,1274.5600585938,1282.9699707031,77367104
9,2010-06-01,1280.3399658203,1281.9599609375,1276.0200195312,1276.0200195312,77071104
10,2010-06-02,1285.5400390625,1297.75,1285.5400390625,1294.4399414062,106824304
11,2010-06-03,1294.5600585938,1296.2299804688,1290.2600097656,1294.3900146484,72366600
12,2010-06-06,1284.5100097656,1290.6800537109,1278.8900146484,1286.2700195312,74697296
13,2010-06-07,1285.7800292969,1290.8000488281,1285.0699462891,1288.1800537109,65905500
14,2010-06-08,1291.8100585938,1292.3800048828,1287.6600341797,1290.0799560547,63987700
15,2010-06-09,1289.7199707031,1293.2700195312,1289.7099609375,1291.3100585938,63146900
16,2010-06-10,1298.5100097656,1302.0699462891,1294.6700439453,1294.6700439453,82157696
17,2010-06-13,1294.8900146484,1298.6800537109,1294.5999755859,1297.1600341797,51568700
18,2010-06-14,1297.2600097656,1299.1500244141,1296.7399902344,1298.3699951172,78556896
19,2010-06-15,1303.1400146484,1312.0999755859,1303.1300048828,1303.1300048828,80056704
20,2010-06-16,1304.5,1306.9300537109,1303.7399902344,1304.4699707031,64461200
21,2010-06-17,1306.1700439453,1317.6899414062,1306.0,1317.6899414062,105326704
22,2010-06-20,1320.7800292969,1335.3100585938,1320.7800292969,1335.2900390625,113371400
23,2010-06-21,1334.1999511719,1334.1999511719,1323.4399414062,1323.4399414062,81704400
24,2010-06-22,1322.0500488281,1329.6999511719,1318.5200195312,1329.6999511719,85413504
25,2010-06-23,1327.6899414062,1333.4899902344,1325.7099609375,1325.8699951172,68009696
26,2010-06-24,1323.2700195312,1326.4499511719,1321.7199707031,1326.4499511719,56493700
27,2010-06-27,1326.0600585938,1326.0600585938,1323.6199951172,1325.5400390625,53813200
28,2010-06-28,1326.1999511719,1331.0899658203,1315.8199462891,1319.8399658203,87023800
29,2010-06-29,1309.1800537109,1316.3599853516,1306.0,1314.0200195312,81512000
30,2010-06-30,1312.9699707031,1315.8699951172,1306.6700439453,1308.7600097656,114089104
31,2010-07-01,1305.2199707031,1307.7399902344,1304.0899658203,1307.4399414062,142934208
32,2010-07-04,1305.5100097656,1306.0300292969,1298.1400146484,1299.5,74662496
33,2010-07-05,1297.3100585938,1307.2199707031,1294.3699951172,1307.0799560547,90967296
34,2010-07-06,1305.9699707031,1311.8299560547,1304.6099853516,1311.75,83679000
35,2010-07-07,1314.6199951172,1317.0500488281,1312.9499511719,1316.0300292969,89981400
36,2010-07-08,1316.1600341797,1327.2700195312,1315.8800048828,1324.3100585938,140325600
37,2010-07-11,1323.9100341797,1331.7399902344,1323.5500488281,1326.7399902344,78791800
38,2010-07-12,1329.8699951172,1332.8699951172,1328.7099609375,1332.8699951172,99389296
39,2010-07-13,1336.6500244141,1341.9599609375,1335.7199707031,1341.0799560547,123276400
40,2010-07-14,1339.5799560547,1340.1099853516,1331.1999511719,1334.0799560547,84559296
41,2010-07-15,1333.8599853516,1336.6500244141,1332.6800537109,1336.6500244141,90899504
42,2010-07-18,1333.9200439453,1333.9899902344,1327.9799804688,1333.3499755859,80266096
43,2010-07-19,1334.5300292969,1338.6800537109,1334.5300292969,1337.6700439453,77330896
44,2010-07-20,1340.3800048828,1344.9599609375,1338.8299560547,1341.0200195312,79138400
45,2010-07-21,1339.0799560547,1339.9799804688,1332.9200439453,1336.0500488281,80568896
46,2010-07-22,1341.0400390625,1345.6800537109,1340.7800292969,1345.6800537109,109986704
47,2010-07-25,1350.5400390625,1352.9399414062,1348.5799560547,1351.8199462891,77598800
48,2010-07-26,1352.4699707031,1357.2299804688,1348.2900390625,1352.2299804688,103472400
49,2010-07-27,1352.6500244141,1356.1300048828,1350.6199951172,1355.1899414062,75111296
50,2010-07-28,1355.7800292969,1359.2700195312,1353.1600341797,1358.4100341797,113124200
51,2010-07-29,1357.5100097656,1360.9200439453,1354.7600097656,1360.9200439453,120581296
52,2010-08-01,1364.2299804688,1368.4300537109,1361.3699951172,1363.5999755859,72660200
53,2010-08-02,1366.1600341797,1370.5200195312,1359.5500488281,1363.8299560547,105258704
54,2010-08-03,1363.5100097656,1364.0500488281,1359.1899414062,1362.7399902344,89160400
55,2010-08-04,1364.1600341797,1364.8199462891,1358.5200195312,1362.0799560547,111985600
56,2010-08-05,1364.1999511719,1364.1999511719,1359.7199707031,1360.4499511719,70841696
57,2010-08-08,1360.5600585938,1362.0400390625,1358.3499755859,1360.6600341797,61807900
58,2010-08-09,1360.6500244141,1362.2399902344,1357.9499511719,1359.7099609375,75333800
59,2010-08-10,1359.5899658203,1359.7299804688,1349.5,1352.9100341797,79077504
60,2010-08-11,1348.7199707031,1350.1999511719,1342.0699462891,1349.3299560547,69806304
61,2010-08-12,1351.8000488281,1360.1500244141,1351.8000488281,1360.1500244141,93442896
62,2010-08-15,1359.8599853516,1370.5799560547,1358.9499511719,1370.5799560547,101534800
63,2010-08-16,1371.5699462891,1381.4100341797,1371.4399414062,1378.4699707031,170876000
64,2010-08-17,1380.5899658203,1385.5100097656,1380.1600341797,1385.5100097656,147542208
65,2010-08-18,1386.9499511719,1392.5600585938,1385.9300537109,1392.5600585938,144239600
66,2010-08-19,1390.2099609375,1395.0300292969,1388.9100341797,1395.0200195312,113940800
67,2010-08-22,1399.8699951172,1404.3100585938,1396.8699951172,1403.1500244141,122315296
68,2010-08-23,1404.2199707031,1406.9499511719,1399.7700195312,1405.7700195312,168633408
69,2010-08-24,1403.0999755859,1405.2700195312,1396.4100341797,1396.9699707031,165796304
70,2010-08-25,1398.2900390625,1408.0,1397.2399902344,1408.0,123176200
71,2010-08-26,1404.3699951172,1415.2800292969,1402.3599853516,1411.0500488281,144186800
