index,Date,Open,High,Low,Close,Volume
0,2011-11-03,1610.5400390625,1628.6899414062,1605.0400390625,1627.75,68788
1,2011-11-06,1629.3299560547,1629.3299560547,1612.4200439453,1617.3199462891,50634
2,2011-11-07,1622.7800292969,1623.1500244141,1596.0699462891,1599.0600585938,50298
3,2011-11-08,1619.1899414062,1623.3499755859,1598.0600585938,1606.0600585938,56830
4,2011-11-09,1565.3599853516,1567.2099609375,1518.3499755859,1518.3499755859,86815
5,2011-11-10,1542.8599853516,1567.7299804688,1527.9399414062,1566.9499511719,53204
6,2011-11-13,1588.9499511719,1607.5400390625,1588.9499511719,1600.6999511719,47577
7,2011-11-14,1587.2700195312,1598.0,1579.4200439453,1587.7700195312,40889
8,2011-11-15,1596.9899902344,1610.6600341797,1556.6800537109,1560.6300048828,57847
9,2011-11-16,1567.1600341797,1579.0999755859,1541.4399414062,1576.6999511719,52935
10,2011-11-17,1544.4100341797,1555.1600341797,1538.6500244141,1543.2600097656,47117
11,2011-11-20,1536.3000488281,1536.3000488281,1516.6199951172,1524.4000244141,39002
12,2011-11-21,1507.0799560547,1538.3800048828,1506.3199462891,1533.0899658203,39194
13,2011-11-22,1526.2600097656,1526.2600097656,1490.7399902344,1491.9799804688,47291
14,2011-11-23,1485.8599853516,1510.7600097656,1481.4899902344,1505.0400390625,39296
15,2011-11-24,1490.0500488281,1501.8699951172,1483.6500244141,1491.9000244141,40452
16,2011-11-27,1519.2700195312,1532.4699707031,1512.4100341797,1530.7700195312,46169
17,2011-11-28,1543.2600097656,1572.1800537109,1538.1199951172,1570.1899414062,64589
18,2011-11-29,1561.1899414062,1569.5999755859,1554.0699462891,1560.0300292969,43297
19,2011-11-30,1620.3000488281,1641.8100585938,1617.6700439453,1633.3599853516,82703
20,2011-12-01,1630.0100097656,1635.1400146484,1620.7199707031,1627.8900146484,47950
21,2011-12-04,1638.8599853516,1640.7099609375,1624.5699462891,1634.9200439453,35293
22,2011-12-05,1627.3599853516,1633.9000244141,1607.7199707031,1618.6600341797,37343
23,2011-12-06,1628.3699951172,1635.0300292969,1619.1800537109,1630.25,50286
24,2011-12-07,1620.6099853516,1635.0600585938,1609.4000244141,1621.4100341797,62064
25,2011-12-08,1593.9100341797,1604.1899414062,1583.1899414062,1584.9799804688,47989
26,2011-12-11,1609.9499511719,1612.1999511719,1598.6099853516,1609.5699462891,43372
27,2011-12-12,1588.8900146484,1591.9200439453,1575.0,1575.0,45598
28,2011-12-13,1562.8299560547,1575.75,1562.6099853516,1566.4000244141,34468
29,2011-12-14,1545.7600097656,1552.3800048828,1530.2199707031,1531.1700439453,46620
30,2011-12-15,1539.4699707031,1557.2700195312,1536.2299804688,1555.6400146484,40066
31,2011-12-18,1545.1300048828,1545.3499755859,1479.9599609375,1505.5799560547,63562
32,2011-12-19,1518.2299804688,1522.3000488281,1508.7399902344,1517.4399414062,37756
33,2011-12-20,1558.3100585938,1571.6899414062,1552.3299560547,1569.8699951172,49652
34,2011-12-21,1562.7399902344,1568.8599853516,1557.3199462891,1568.7299804688,27016
35,2011-12-22,1580.8199462891,1592.3199462891,1579.3699951172,1586.8900146484,38239
36,2011-12-25,1591.4300537109,1592.6199951172,1572.8100585938,1576.0300292969,24310
37,2011-12-26,1576.6199951172,1584.9499511719,1538.3399658203,1565.1600341797,37926
38,2011-12-27,1555.5100097656,1555.5100097656,1541.9000244141,1545.8499755859,28969
39,2011-12-28,1538.2099609375,1555.1600341797,1532.6199951172,1544.8199462891,33342
40,2012-01-01,1552.6500244141,1559.2900390625,1539.1700439453,1551.6899414062,35623
41,2012-01-02,1570.6899414062,1599.5500488281,1570.6899414062,1599.5500488281,47180
42,2012-01-03,1606.8599853516,1608.3399658203,1587.2800292969,1588.1300048828,49060
43,2012-01-04,1589.8699951172,1595.9599609375,1580.5100097656,1582.1800537109,41985
44,2012-01-05,1584.6300048828,1584.6300048828,1544.6500244141,1562.5600585938,39430
45,2012-01-08,1550.1500244141,1550.1500244141,1531.4899902344,1544.1400146484,37564
46,2012-01-09,1557.8599853516,1574.3599853516,1557.0999755859,1567.9599609375,41719
47,2012-01-10,1570.8399658203,1571.3000488281,1560.2800292969,1563.9699707031,40807
48,2012-01-11,1569.0899658203,1579.9300537109,1556.9000244141,1579.9300537109,41851
49,2012-01-12,1581.2399902344,1596.9399414062,1576.8199462891,1593.3199462891,52330
50,2012-01-15,1581.1899414062,1582.9899902344,1564.3599853516,1578.5999755859,37350
51,2012-01-16,1596.75,1609.2299804688,1596.75,1609.2299804688,64440
52,2012-01-17,1607.9200439453,1614.2900390625,1599.1999511719,1607.5600585938,54813
53,2012-01-18,1625.1099853516,1632.6400146484,1615.9499511719,1632.6400146484,57872
54,2012-01-19,1640.0,1670.4200439453,1640.0,1668.1099853516,63555
55,2012-01-24,1664.8900146484,1692.6099853516,1664.8900146484,1674.8199462891,54677
56,2012-01-25,1680.4200439453,1682.5999755859,1668.3199462891,1675.8499755859,45533
57,2012-01-26,1679.0500488281,1683.9699707031,1666.7199707031,1682.6899414062,58963
58,2012-01-29,1674.3699951172,1679.6300048828,1656.9599609375,1660.1899414062,54648
59,2012-01-30,1660.2099609375,1675.9499511719,1649.0600585938,1668.4000244141,57083
60,2012-01-31,1659.8499755859,1680.1899414062,1659.4100341797,1667.2700195312,57649
61,2012-02-01,1688.1999511719,1700.7700195312,1682.0899658203,1689.2399902344,80605
62,2012-02-02,1685.6199951172,1686.25,1666.0,1675.5799560547,57807
63,2012-02-05,1697.7600097656,1701.0300292969,1673.0799560547,1680.8800048828,57964
64,2012-02-06,1683.9300537109,1688.9100341797,1677.3100585938,1686.9699707031,60080
65,2012-02-07,1689.3100585938,1706.0699462891,1686.9499511719,1706.0699462891,62183
66,2012-02-08,1699.1600341797,1715.5899658203,1679.6600341797,1715.5899658203,60733
67,2012-02-09,1708.5,1708.5,1686.3599853516,1691.7199707031,51574
68,2012-02-12,1698.1199951172,1709.6600341797,1691.2399902344,1704.2399902344,39166
69,2012-02-13,1697.1700439453,1706.8299560547,1695.8100585938,1702.4100341797,58148
70,2012-02-14,1712.8399658203,1730.5999755859,1712.7299804688,1728.0400390625,62614
71,2012-02-15,1709.0999755859,1715.2900390625,1700.3399658203,1702.0899658203,51098
72,2012-02-16,1729.9799804688,1738.5699462891,1725.4399414062,1731.1899414062,60505
73,2012-02-19,1748.1600341797,1754.1899414062,1731.6500244141,1731.6500244141,44331
74,2012-02-20,1727.9499511719,1738.2099609375,1715.6999511719,1732.0,42318
75,2012-02-21,1725.1999511719,1737.9000244141,1723.6199951172,1737.8100585938,46533
76,2012-02-22,1724.2800292969,1724.2800292969,1708.8800048828,1713.8499755859,44205
77,2012-02-23,1713.5500488281,1724.7600097656,1702.3699951172,1723.5400390625,42548
78,2012-02-26,1716.4699707031,1716.4699707031,1692.4100341797,1696.4100341797,39001
79,2012-02-27,1704.8100585938,1716.8699951172,1702.6600341797,1713.8900146484,58527
80,2012-02-28,1724.9799804688,1744.2800292969,1724.9799804688,1741.1300048828,58443
81,2012-03-01,1751.9100341797,1756.8299560547,1739.1099853516,1740.8699951172,47200
82,2012-03-04,1735.1700439453,1737.5300292969,1717.8599853516,1722.4899902344,35867
83,2012-03-05,1725.3000488281,1729.9599609375,1698.8299560547,1710.3399658203,42379
84,2012-03-06,1682.9799804688,1699.9200439453,1680.6800537109,1693.3800048828,39798
85,2012-03-07,1699.25,1715.0999755859,1688.4399414062,1710.5500488281,54904
86,2012-03-08,1727.0500488281,1734.2199707031,1712.75,1729.7199707031,40446
87,2012-03-11,1729.4599609375,1729.5200195312,1713.5200195312,1714.8800048828,34490
88,2012-03-12,1723.2199707031,1744.5799560547,1723.2199707031,1737.8499755859,46788
89,2012-03-13,1761.8100585938,1771.4699707031,1758.3499755859,1758.3499755859,56291
90,2012-03-14,1758.2199707031,1763.4699707031,1753.3800048828,1756.9200439453,46842
91,2012-03-15,1768.5699462891,1768.8199462891,1745.5200195312,1745.5200195312,39809
92,2012-03-18,1750.3499755859,1761.4200439453,1747.5,1760.0899658203,44953
93,2012-03-19,1760.6800537109,1770.5600585938,1753.1500244141,1759.4100341797,39401
94,2012-03-20,1749.4100341797,1758.1999511719,1741.1500244141,1746.8100585938,35234
95,2012-03-21,1745.1099853516,1751.9399414062,1738.7299804688,1750.5699462891,41128
96,2012-03-22,1739.0999755859,1752.6999511719,1738.0600585938,1749.7600097656,39062
97,2012-03-25,1758.5300292969,1763.8800048828,1742.6400146484,1748.6199951172,40069
98,2012-03-26,1769.7299804688,1774.4399414062,1761.3599853516,1774.4399414062,42228
99,2012-03-27,1767.8100585938,1772.8399658203,1763.3599853516,1767.2900390625,43209
100,2012-03-28,1755.7199707031,1761.0999755859,1745.7800292969,1749.5300292969,46353
101,2012-03-29,1744.6099853516,1748.6899414062,1736.1300048828,1743.6899414062,49740
102,2012-04-01,1751.5899658203,1766.7299804688,1746.6300048828,1764.6700439453,36351
103,2012-04-02,1777.1600341797,1795.8599853516,1774.6899414062,1793.1600341797,47858
104,2012-04-03,1790.9000244141,1793.2900390625,1763.6300048828,1765.8699951172,54900
105,2012-04-04,1753.4100341797,1781.5200195312,1747.6999511719,1779.1899414062,44491
106,2012-04-05,1776.7299804688,1781.4000244141,1772.1199951172,1779.6099853516,39688
107,2012-04-08,1759.1899414062,1760.7399902344,1748.1800537109,1752.5500488281,37861
108,2012-04-09,1756.4899902344,1764.5300292969,1744.1899414062,1747.9499511719,35964
109,2012-04-11,1736.5600585938,1737.5600585938,1718.9699707031,1734.7800292969,42258
110,2012-04-12,1747.1400146484,1756.4300537109,1742.2900390625,1752.9300537109,38176
111,2012-04-15,1732.6899414062,1744.5899658203,1730.5400390625,1738.2700195312,32250
112,2012-04-16,1739.4799804688,1744.7199707031,1727.9200439453,1728.3299560547,28401
113,2012-04-17,1757.1899414062,1757.6999511719,1746.4499511719,1750.3000488281,37478
114,2012-04-18,1746.3499755859,1755.0600585938,1740.2399902344,1746.4699707031,34833
115,2012-04-19,1732.8100585938,1732.8100585938,1714.9399414062,1718.5400390625,36103
116,2012-04-22,1713.9799804688,1724.5899658203,1707.3299560547,1716.6700439453,28140
117,2012-04-23,1702.7099609375,1721.0799560547,1701.6999511719,1714.5999755859,35090
118,2012-04-24,1732.3599853516,1732.3599853516,1717.3199462891,1717.3199462891,39621
119,2012-04-25,1731.8800048828,1734.8900146484,1717.4100341797,1724.6800537109,38892
120,2012-04-26,1734.3299560547,1747.3599853516,1732.0400390625,1740.1700439453,40055
121,2012-04-29,1753.9799804688,1755.2700195312,1741.3399658203,1745.6500244141,46412
122,2012-05-01,1758.3499755859,1764.8399658203,1753.1300048828,1762.5899658203,47425
123,2012-05-02,1757.5400390625,1761.7600097656,1751.0999755859,1755.9399414062,36385
124,2012-05-03,1745.0,1749.6099853516,1734.7700195312,1739.0,42567
125,2012-05-06,1707.6300048828,1712.3800048828,1703.5200195312,1709.6099853516,42109
126,2012-05-07,1720.8699951172,1722.0600585938,1713.1700439453,1716.9200439453,32567
127,2012-05-08,1708.1400146484,1712.0600585938,1698.8699951172,1700.7700195312,40938
128,2012-05-09,1695.0899658203,1702.7900390625,1688.3100585938,1694.6899414062,38059
129,2012-05-10,1687.3900146484,1687.7099609375,1669.0300292969,1669.3699951172,35759
130,2012-05-13,1670.0,1680.3000488281,1662.6099853516,1674.5600585938,32496
131,2012-05-14,1660.6500244141,1668.3299560547,1650.8599853516,1662.6700439453,47209
132,2012-05-15,1651.1800537109,1651.1800537109,1600.6899414062,1602.0699462891,55885
133,2012-05-16,1603.3100585938,1619.8199462891,1590.3800048828,1607.0500488281,61961
134,2012-05-17,1578.8800048828,1578.8800048828,1548.2900390625,1550.2099609375,58271
135,2012-05-20,1570.0400390625,1576.5899658203,1561.2199707031,1571.4300537109,38183
136,2012-05-21,1598.6899414062,1600.9499511719,1584.7199707031,1598.7299804688,50542
137,2012-05-22,1585.0200195312,1585.0200195312,1563.9000244141,1576.4200439453,41150
138,2012-05-23,1573.1400146484,1580.8199462891,1566.0799560547,1580.1500244141,30524
139,2012-05-24,1584.3599853516,1596.5400390625,1576.7099609375,1585.5400390625,32793
140,2012-05-28,1581.2399902344,1612.9599609375,1577.3299560547,1610.0200195312,37581
141,2012-05-29,1606.8000488281,1608.4499511719,1591.6099853516,1607.5999755859,32466
142,2012-05-30,1583.6500244141,1600.6400146484,1576.2900390625,1600.6400146484,38835
143,2012-05-31,1590.0699462891,1601.5,1580.5200195312,1594.6700439453,29119
144,2012-06-03,1547.4200439453,1557.0799560547,1544.0699462891,1549.9300537109,52591
145,2012-06-04,1564.2800292969,1570.1500244141,1555.9399414062,1565.1999511719,34618
146,2012-06-06,1601.6600341797,1616.4499511719,1601.6600341797,1613.3399658203,49093
147,2012-06-07,1619.3900146484,1619.7900390625,1597.6400146484,1600.1700439453,31310
148,2012-06-10,1625.9100341797,1634.7299804688,1624.5500488281,1632.6899414062,40814
149,2012-06-11,1607.5200195312,1623.3599853516,1606.9799804688,1619.4000244141,32402
150,2012-06-12,1630.6999511719,1630.6999511719,1614.1800537109,1623.4599609375,30271
151,2012-06-13,1620.5400390625,1630.3900146484,1616.4499511719,1630.3900146484,42697
152,2012-06-14,1629.0799560547,1629.0799560547,1605.0500488281,1614.7900390625,48747
153,2012-06-17,1646.9899902344,1656.7800292969,1642.3399658203,1647.3699951172,35723
154,2012-06-18,1642.3199462891,1648.2399902344,1637.7700195312,1646.3199462891,24511
155,2012-06-19,1661.4300537109,1661.4300537109,1648.1199951172,1656.4000244141,32545
156,2012-06-20,1646.1400146484,1651.3000488281,1628.7399902344,1636.0,29260
157,2012-06-21,1608.9499511719,1610.75,1588.9399414062,1591.8800048828,36425
158,2012-06-24,1585.4599609375,1585.4599609375,1556.25,1565.7099609375,35245
159,2012-06-25,1559.9499511719,1567.9799804688,1556.2900390625,1560.2199707031,28751
160,2012-06-26,1557.0899658203,1566.8000488281,1540.0899658203,1562.5200195312,32853
161,2012-06-27,1571.0600585938,1572.5600585938,1551.5500488281,1564.4200439453,24350
162,2012-06-28,1553.4300537109,1597.2900390625,1545.9899902344,1597.2900390625,40093
163,2012-07-01,1607.7800292969,1608.9699707031,1592.4799804688,1592.7600097656,28776
164,2012-07-02,1599.4200439453,1612.25,1598.9499511719,1608.8399658203,37940
165,2012-07-03,1616.5300292969,1623.3199462891,1612.7600097656,1616.8100585938,31063
166,2012-07-04,1611.0699462891,1616.9499511719,1607.4599609375,1614.5699462891,27785
167,2012-07-05,1615.9200439453,1619.2700195312,1589.0300292969,1597.4200439453,24573
168,2012-07-08,1577.5699462891,1582.3499755859,1570.9200439453,1574.3299560547,24549
169,2012-07-09,1581.9100341797,1583.9899902344,1562.6999511719,1569.3399658203,24652
170,2012-07-10,1565.9200439453,1566.6800537109,1552.8299560547,1563.8199462891,26139
171,2012-07-11,1564.9000244141,1569.3699951172,1528.3100585938,1528.3100585938,35572
172,2012-07-12,1533.6099853516,1566.1999511719,1524.2600097656,1558.0100097656,38265
173,2012-07-15,1565.0899658203,1568.0400390625,1553.5,1563.8399658203,26370
174,2012-07-16,1554.0999755859,1584.2199707031,1548.9899902344,1570.2700195312,36822
175,2012-07-17,1570.3100585938,1577.0699462891,1539.9499511719,1546.2800292969,43335
176,2012-07-18,1571.2299804688,1581.8699951172,1567.2600097656,1574.0600585938,46081
177,2012-07-19,1576.0600585938,1580.9899902344,1570.5300292969,1572.0799560547,36871
178,2012-07-22,1547.8499755859,1549.8299560547,1533.1600341797,1542.5600585938,31383
179,2012-07-23,1540.4799804688,1554.7299804688,1537.1300048828,1552.0899658203,35844
180,2012-07-24,1521.3800048828,1546.3000488281,1519.6500244141,1530.7299804688,33055
181,2012-07-25,1539.3499755859,1547.8599853516,1527.4499511719,1543.0799560547,34145
182,2012-07-26,1572.0100097656,1591.8499755859,1566.7199707031,1591.8499755859,41552
183,2012-07-29,1610.1500244141,1614.8900146484,1606.9599609375,1610.8399658203,33274
184,2012-07-30,1612.3399658203,1666.5,1609.9699707031,1647.6400146484,49060
185,2012-07-31,1636.4399414062,1653.0600585938,1632.9300537109,1643.5600585938,31532
186,2012-08-01,1647.4899902344,1648.8599853516,1624.5,1628.8499755859,26720
187,2012-08-02,1605.6600341797,1623.6099853516,1603.4699707031,1607.4399414062,36943
188,2012-08-05,1642.9399414062,1656.1999511719,1641.5799560547,1646.8800048828,40411
189,2012-08-06,1644.75,1649.4799804688,1641.2399902344,1645.4799804688,29944
190,2012-08-07,1655.4300537109,1677.8699951172,1655.0799560547,1663.4799804688,53005
191,2012-08-08,1666.6400146484,1704.75,1666.6400146484,1697.3800048828,56595
192,2012-08-09,1693.4599609375,1704.5699462891,1692.0600585938,1703.7800292969,32176
193,2012-08-12,1702.8000488281,1703.0899658203,1686.0699462891,1686.4200439453,23359
194,2012-08-13,1695.8199462891,1710.2399902344,1691.9000244141,1709.4399414062,31504
195,2012-08-15,1709.8399658203,1713.1600341797,1698.3499755859,1707.0799560547,30642
196,2012-08-16,1712.4899902344,1712.6999511719,1687.7900390625,1691.1099853516,34429
197,2012-08-19,1684.5600585938,1691.4399414062,1678.6899414062,1688.4200439453,25466
198,2012-08-20,1695.9499511719,1702.7800292969,1684.7700195312,1684.9300537109,29585
199,2012-08-21,1679.7399902344,1687.9799804688,1659.7600097656,1675.7800292969,31480
200,2012-08-22,1673.9300537109,1684.25,1664.7399902344,1683.3699951172,30226
201,2012-08-23,1661.8199462891,1666.8299560547,1653.1600341797,1658.3499755859,37233
202,2012-08-26,1639.5799560547,1653.9499511719,1635.6300048828,1645.1099853516,42623
203,2012-08-27,1651.2299804688,1654.7900390625,1640.0200195312,1644.3599853516,29874
204,2012-08-28,1647.6899414062,1659.2900390625,1643.0500488281,1657.3499755859,30699
205,2012-08-29,1649.6500244141,1650.4100341797,1625.6300048828,1633.7399902344,32941
206,2012-08-30,1624.25,1639.7299804688,1623.75,1631.8499755859,26059
207,2012-09-02,1633.3399658203,1643.8599853516,1609.3900146484,1633.6199951172,26565
208,2012-09-03,1632.3100585938,1635.8100585938,1625.6800537109,1628.2700195312,28358
209,2012-09-04,1615.8299560547,1616.3699951172,1596.25,1596.25,30895
210,2012-09-05,1603.5500488281,1609.3100585938,1596.1300048828,1602.9899902344,29765
211,2012-09-06,1640.7199707031,1654.6400146484,1638.5400390625,1654.5300292969,54582
212,2012-09-09,1660.3299560547,1663.5699462891,1651.5400390625,1651.5400390625,26158
213,2012-09-10,1647.1500244141,1651.6899414062,1638.6199951172,1648.2299804688,23996
214,2012-09-11,1659.4499511719,1679.7900390625,1655.9499511719,1677.1099853516,31458
215,2012-09-12,1675.5300292969,1680.7700195312,1664.6999511719,1677.4000244141,39018
216,2012-09-13,1719.8100585938,1733.2299804688,1716.5500488281,1731.5100097656,72848
217,2012-09-16,1731.6500244141,1736.2600097656,1721.3199462891,1724.3100585938,44614
218,2012-09-17,1720.6400146484,1729.6500244141,1718.4799804688,1725.2900390625,29856
