index,Date,Open,High,Low,Close,Volume
0,2012-07-05,3893.3601074219,3893.3601074219,3893.3601074219,3893.3601074219,0
1,2012-07-08,3901.669921875,3901.669921875,3901.669921875,3901.669921875,0
2,2012-07-09,3881.1599121094,3881.1599121094,3881.1599121094,3881.1599121094,0
3,2012-07-10,3896.3000488281,3896.3000488281,3896.3000488281,3896.3000488281,0
4,2012-07-11,3879.4499511719,3879.4499511719,3879.4499511719,3879.4499511719,0
5,2012-07-12,3896.6101074219,3896.6101074219,3896.6101074219,3896.6101074219,0
6,2012-07-15,3862.419921875,3862.419921875,3862.419921875,3862.419921875,0
7,2012-07-16,3846.5200195312,3846.5200195312,3846.5200195312,3846.5200195312,0
8,2012-07-17,3849.6101074219,3849.6101074219,3849.6101074219,3849.6101074219,0
9,2012-07-18,3872.6298828125,3872.6298828125,3872.6298828125,3872.6298828125,0
10,2012-07-19,3870.6599121094,3870.6599121094,3870.6599121094,3870.6599121094,0
11,2012-07-22,3857.4399414062,3857.4399414062,3857.4399414062,3857.4399414062,0
12,2012-07-23,3843.7700195312,3843.7700195312,3843.7700195312,3843.7700195312,0
13,2012-07-24,3839.580078125,3839.580078125,3839.580078125,3839.580078125,0
14,2012-07-25,3827.3701171875,3827.3701171875,3827.3701171875,3827.3701171875,0
15,2012-07-26,3828.8601074219,3828.8601074219,3828.8601074219,3828.8601074219,0
16,2012-07-29,3827.4899902344,3827.4899902344,3827.4899902344,3827.4899902344,0
17,2012-07-30,3829.3200683594,3829.3200683594,3829.3200683594,3829.3200683594,0
18,2012-07-31,3832.5,3832.5,3832.5,3832.5,0
19,2012-08-01,3816.7800292969,3816.7800292969,3816.7800292969,3816.7800292969,0
20,2012-08-02,3826.5,3826.5,3826.5,3826.5,0
21,2012-08-06,3824.0400390625,3824.0400390625,3824.0400390625,3824.0400390625,0
22,2012-08-07,3809.0,3809.0,3809.0,3809.0,0
23,2012-08-08,3809.1799316406,3809.1799316406,3809.1799316406,3809.1799316406,0
24,2012-08-09,3866.830078125,3866.830078125,3866.830078125,3866.830078125,0
25,2012-08-12,3813.2800292969,3813.2800292969,3813.2800292969,3813.2800292969,0
26,2012-08-13,3817.6101074219,3817.6101074219,3817.6101074219,3817.6101074219,0
27,2012-08-14,3815.3100585938,3815.3100585938,3815.3100585938,3815.3100585938,0
28,2012-08-15,3829.080078125,3829.080078125,3829.080078125,3829.080078125,0
29,2012-08-16,3806.8500976562,3806.8500976562,3806.8500976562,3806.8500976562,0
30,2012-08-19,3838.3100585938,3838.3100585938,3838.3100585938,3838.3100585938,0
31,2012-08-20,3803.8500976562,3803.8500976562,3803.8500976562,3803.8500976562,0
32,2012-08-21,3807.6000976562,3807.6000976562,3807.6000976562,3807.6000976562,0
33,2012-08-22,3806.2099609375,3806.2099609375,3806.2099609375,3806.2099609375,0
34,2012-08-23,3796.3601074219,3796.3601074219,3796.3601074219,3796.3601074219,0
35,2012-08-26,3825.3601074219,3825.3601074219,3825.3601074219,3825.3601074219,0
36,2012-08-27,3792.6398925781,3792.6398925781,3792.6398925781,3792.6398925781,0
37,2012-08-28,3754.3798828125,3754.3798828125,3754.3798828125,3754.3798828125,0
38,2012-08-29,3731.6499023438,3731.6499023438,3731.6499023438,3731.6499023438,0
39,2012-08-30,3732.5300292969,3732.5300292969,3732.5300292969,3732.5300292969,0
40,2012-09-02,3732.2600097656,3732.2600097656,3732.2600097656,3732.2600097656,0
41,2012-09-03,3713.1499023438,3713.1499023438,3713.1499023438,3713.1499023438,0
42,2012-09-04,3696.2700195312,3696.2700195312,3696.2700195312,3696.2700195312,0
43,2012-09-05,3697.7700195312,3697.7700195312,3697.7700195312,3697.7700195312,0
44,2012-09-06,3698.3100585938,3698.3100585938,3698.3100585938,3698.3100585938,0
45,2012-09-09,3691.6201171875,3691.6201171875,3691.6201171875,3691.6201171875,0
46,2012-09-10,3727.5100097656,3727.5100097656,3727.5100097656,3727.5100097656,0
47,2012-09-11,3709.6999511719,3709.6999511719,3709.6999511719,3709.6999511719,0
48,2012-09-12,3708.6298828125,3708.6298828125,3708.6298828125,3708.6298828125,0
49,2012-09-13,3710.6298828125,3710.6298828125,3710.6298828125,3710.6298828125,0
50,2012-09-16,3743.8400878906,3743.8400878906,3743.8400878906,3743.8400878906,0
51,2012-09-17,3727.5600585938,3727.5600585938,3727.5600585938,3727.5600585938,0
52,2012-09-18,3727.3000488281,3727.3000488281,3727.3000488281,3727.3000488281,0
53,2012-09-19,3710.3500976562,3710.3500976562,3710.3500976562,3710.3500976562,0
