index,Date,Open,High,Low,Close,Volume
0,2014-03-25,16420.66015625,16420.66015625,16420.66015625,16420.66015625,n/a
1,2014-03-26,16361.709960938,16361.709960938,16361.709960938,16361.709960938,n/a
2,2014-03-27,16291.509765625,16291.509765625,16291.509765625,16291.509765625,n/a
3,2014-03-30,16304.01953125,16304.01953125,16304.01953125,16304.01953125,n/a
4,2014-03-31,15846.799804688,15846.799804688,15846.799804688,15846.799804688,n/a
5,2014-04-01,15824.780273438,15824.780273438,15824.780273438,15824.780273438,n/a
6,2014-04-02,15765.5703125,15765.5703125,15765.5703125,15765.5703125,n/a
7,2014-04-03,16076.599609375,16076.599609375,16076.599609375,16076.599609375,n/a
8,2014-04-06,16092.610351562,16092.610351562,16092.610351562,16092.610351562,n/a
9,2014-04-07,15963.610351562,15963.610351562,15963.610351562,15963.610351562,n/a
10,2014-04-08,15976.48046875,15976.48046875,15976.48046875,15976.48046875,n/a
11,2014-04-09,15941.58984375,15941.58984375,15941.58984375,15941.58984375,n/a
12,2014-04-10,15809.700195312,15809.700195312,15809.700195312,15809.700195312,n/a
13,2014-04-13,15686.110351562,15686.110351562,15686.110351562,15686.110351562,n/a
14,2014-04-14,15566.969726562,15566.969726562,15566.969726562,15566.969726562,n/a
15,2014-04-15,15643.73046875,15643.73046875,15643.73046875,15643.73046875,n/a
16,2014-04-16,15761.040039062,15761.040039062,15761.040039062,15761.040039062,n/a
17,2014-04-17,15747.459960938,15747.459960938,15747.459960938,15747.459960938,n/a
18,2014-04-20,15656.5703125,15656.5703125,15656.5703125,15656.5703125,n/a
19,2014-04-21,15757.33984375,15757.33984375,15757.33984375,15757.33984375,n/a
20,2014-04-22,15695.379882812,15695.379882812,15695.379882812,15695.379882812,n/a
21,2014-04-23,15498.4296875,15498.4296875,15498.4296875,15498.4296875,n/a
22,2014-04-24,15753.620117188,15753.620117188,15753.620117188,15753.620117188,n/a
23,2014-04-27,15685.610351562,15685.610351562,15685.610351562,15685.610351562,n/a
24,2014-04-28,15795.830078125,15795.830078125,15795.830078125,15795.830078125,n/a
25,2014-04-29,15522.610351562,15522.610351562,15522.610351562,15522.610351562,n/a
26,2014-04-30,15582.48046875,15582.48046875,15582.48046875,15582.48046875,n/a
27,2014-05-01,15529.690429688,15529.690429688,15529.690429688,15529.690429688,n/a
28,2014-05-04,15544.6796875,15544.6796875,15544.6796875,15544.6796875,n/a
29,2014-05-05,15412.959960938,15412.959960938,15412.959960938,15412.959960938,n/a
