index,Date,Open,High,Low,Close,Volume
0,2016-06-14,10492.959960938,10492.959960938,10492.959960938,10492.959960938,n/a
1,2016-06-15,10350.059570312,10350.059570312,10350.059570312,10350.059570312,n/a
2,2016-06-16,10341.870117188,10341.870117188,10341.870117188,10341.870117188,n/a
3,2016-06-19,10303.110351562,10303.110351562,10303.110351562,10303.110351562,n/a
4,2016-06-20,10267.5703125,10267.5703125,10267.5703125,10267.5703125,n/a
5,2016-06-21,10371.139648438,10371.139648438,10371.139648438,10371.139648438,n/a
6,2016-06-22,10421.66015625,10421.66015625,10421.66015625,10421.66015625,n/a
7,2016-06-23,10459.099609375,10459.099609375,10459.099609375,10459.099609375,n/a
8,2016-06-26,10476.08984375,10476.08984375,10476.08984375,10476.08984375,n/a
9,2016-06-27,10429.400390625,10429.400390625,10429.400390625,10429.400390625,n/a
10,2016-06-28,10489.059570312,10489.059570312,10489.059570312,10489.059570312,n/a
11,2016-06-29,10493.3203125,10493.3203125,10493.3203125,10493.3203125,n/a
12,2016-06-30,10557.290039062,10557.290039062,10557.290039062,10557.290039062,n/a
13,2016-07-03,10477.700195312,10477.700195312,10477.700195312,10477.700195312,n/a
14,2016-07-04,10548.66015625,10548.66015625,10548.66015625,10548.66015625,n/a
15,2016-07-05,10596.450195312,10596.450195312,10596.450195312,10596.450195312,n/a
16,2016-07-06,10583.990234375,10583.990234375,10583.990234375,10583.990234375,n/a
17,2016-07-07,10594.26953125,10594.26953125,10594.26953125,10594.26953125,n/a
18,2016-07-10,10651.169921875,10651.169921875,10651.169921875,10651.169921875,n/a
19,2016-07-11,10628.849609375,10628.849609375,10628.849609375,10628.849609375,n/a
20,2016-07-17,10843.91015625,10843.91015625,10843.91015625,10843.91015625,n/a
21,2016-07-18,10875.1796875,10875.1796875,10875.1796875,10875.1796875,n/a
22,2016-07-19,10947.849609375,10947.849609375,10947.849609375,10947.849609375,n/a
23,2016-07-20,10834.990234375,10834.990234375,10834.990234375,10834.990234375,n/a
24,2016-07-21,10828.25,10828.25,10828.25,10828.25,n/a
25,2016-07-24,10882.639648438,10882.639648438,10882.639648438,10882.639648438,n/a
26,2016-07-25,10862.01953125,10862.01953125,10862.01953125,10862.01953125,n/a
27,2016-07-26,10783.190429688,10783.190429688,10783.190429688,10783.190429688,n/a
28,2016-07-27,10856.669921875,10856.669921875,10856.669921875,10856.669921875,n/a
29,2016-07-28,10877.01953125,10877.01953125,10877.01953125,10877.01953125,n/a
30,2016-07-31,10874.5703125,10874.5703125,10874.5703125,10874.5703125,n/a
31,2016-08-01,10876.969726562,10876.969726562,10876.969726562,10876.969726562,n/a
32,2016-08-02,10990.530273438,10990.530273438,10990.530273438,10990.530273438,n/a
33,2016-08-03,10891.799804688,10891.799804688,10891.799804688,10891.799804688,n/a
34,2016-08-04,10938.849609375,10938.849609375,10938.849609375,10938.849609375,n/a
35,2016-08-07,10846.490234375,10846.490234375,10846.490234375,10846.490234375,n/a
36,2016-08-08,10799.66015625,10799.66015625,10799.66015625,10799.66015625,n/a
37,2016-08-09,10829.099609375,10829.099609375,10829.099609375,10829.099609375,n/a
38,2016-08-10,10810.540039062,10810.540039062,10810.540039062,10810.540039062,n/a
39,2016-08-11,10899.0,10899.0,10899.0,10899.0,n/a
40,2016-08-14,10899.040039062,10899.040039062,10899.040039062,10899.040039062,n/a
41,2016-08-15,10899.0703125,10899.0703125,10899.0703125,10899.0703125,n/a
42,2016-08-16,10834.91015625,10834.91015625,10834.91015625,10834.91015625,n/a
43,2016-08-17,10851.5703125,10851.5703125,10851.5703125,10851.5703125,n/a
44,2016-08-18,10808.8203125,10808.8203125,10808.8203125,10808.8203125,n/a
45,2016-08-21,10808.780273438,10808.780273438,10808.780273438,10808.780273438,n/a
46,2016-08-22,10818.530273438,10818.530273438,10818.530273438,10818.530273438,n/a
47,2016-08-23,10860.48046875,10860.48046875,10860.48046875,10860.48046875,n/a
48,2016-08-24,10881.940429688,10881.940429688,10881.940429688,10881.940429688,n/a
49,2016-08-25,10881.91015625,10881.91015625,10881.91015625,10881.91015625,n/a
50,2016-08-28,10856.5,10856.5,10856.5,10856.5,n/a
51,2016-08-29,10839.559570312,10839.559570312,10839.559570312,10839.559570312,n/a
52,2016-08-30,10839.559570312,10839.559570312,10839.559570312,10839.559570312,n/a
53,2016-08-31,10813.860351562,10813.860351562,10813.860351562,10813.860351562,n/a
54,2016-09-01,10803.639648438,10803.639648438,10803.639648438,10803.639648438,n/a
55,2016-09-04,10803.639648438,10803.639648438,10803.639648438,10803.639648438,n/a
56,2016-09-05,10796.690429688,10796.690429688,10796.690429688,10796.690429688,n/a
57,2016-09-06,10788.120117188,10788.120117188,10788.120117188,10788.120117188,n/a
58,2016-09-07,10743.780273438,10743.780273438,10743.780273438,10743.780273438,n/a
59,2016-09-08,10738.5,10738.5,10738.5,10738.5,n/a
60,2016-09-11,10802.540039062,10802.540039062,10802.540039062,10802.540039062,n/a
61,2016-09-12,10804.51953125,10804.51953125,10804.51953125,10804.51953125,n/a
62,2016-09-13,10769.669921875,10769.669921875,10769.669921875,10769.669921875,n/a
63,2016-09-14,10763.48046875,10763.48046875,10763.48046875,10763.48046875,n/a
64,2016-09-15,10738.73046875,10738.73046875,10738.73046875,10738.73046875,n/a
65,2016-09-18,10725.120117188,10725.120117188,10725.120117188,10725.120117188,n/a
66,2016-09-19,10778.860351562,10778.860351562,10778.860351562,10778.860351562,n/a
67,2016-09-20,10798.91015625,10798.91015625,10798.91015625,10798.91015625,n/a
68,2016-09-21,10781.16015625,10781.16015625,10781.16015625,10781.16015625,n/a
69,2016-09-22,10745.309570312,10745.309570312,10745.309570312,10745.309570312,n/a
