index,Date,Open,High,Low,Close,Volume
1,2009-12-02,3347.8400878906,3347.8400878906,3347.8400878906,3347.8400878906,n/a
2,2009-12-03,3339.4799804688,3339.4799804688,3339.4799804688,3339.4799804688,n/a
3,2009-12-06,3343.0300292969,3343.0300292969,3343.0300292969,3343.0300292969,n/a
4,2009-12-08,3385.1799316406,3385.1799316406,3385.1799316406,3385.1799316406,n/a
5,2009-12-09,3397.4299316406,3397.4299316406,3397.4299316406,3397.4299316406,n/a
6,2009-12-10,3421.0600585938,3421.0600585938,3421.0600585938,3421.0600585938,n/a
7,2009-12-13,3428.8798828125,3428.8798828125,3428.8798828125,3428.8798828125,n/a
8,2009-12-14,3437.6398925781,3437.6398925781,3437.6398925781,3437.6398925781,n/a
9,2009-12-15,3434.6000976562,3434.6000976562,3434.6000976562,3434.6000976562,n/a
10,2009-12-16,3427.4899902344,3427.4899902344,3427.4899902344,3427.4899902344,n/a
11,2009-12-17,3430.1499023438,3430.1499023438,3430.1499023438,3430.1499023438,n/a
12,2009-12-20,3441.3601074219,3441.3601074219,3441.3601074219,3441.3601074219,n/a
13,2009-12-21,3443.4599609375,3443.4599609375,3443.4599609375,3443.4599609375,n/a
14,2009-12-22,3443.5600585938,3443.5600585938,3443.5600585938,3443.5600585938,n/a
15,2009-12-23,3443.5600585938,3443.5600585938,3443.5600585938,3443.5600585938,n/a
16,2009-12-27,3447.9699707031,3447.9699707031,3447.9699707031,3447.9699707031,n/a
17,2009-12-28,3445.4399414062,3445.4399414062,3445.4399414062,3445.4399414062,n/a
18,2009-12-29,3460.5500488281,3460.5500488281,3460.5500488281,3460.5500488281,n/a
19,2010-01-03,3473.3798828125,3473.3798828125,3473.3798828125,3473.3798828125,n/a
20,2010-01-04,3478.8701171875,3478.8701171875,3478.8701171875,3478.8701171875,n/a
21,2010-01-05,3508.25,3508.25,3508.25,3508.25,n/a
22,2010-01-06,3566.5700683594,3566.5700683594,3566.5700683594,3566.5700683594,n/a
23,2010-01-07,3653.0500488281,3653.0500488281,3653.0500488281,3653.0500488281,n/a
24,2010-01-10,3737.9899902344,3737.9899902344,3737.9899902344,3737.9899902344,n/a
25,2010-01-11,3805.7800292969,3805.7800292969,3805.7800292969,3805.7800292969,n/a
26,2010-01-12,3770.5100097656,3770.5100097656,3770.5100097656,3770.5100097656,n/a
27,2010-01-13,3741.3898925781,3741.3898925781,3741.3898925781,3741.3898925781,n/a
28,2010-01-14,3694.169921875,3694.169921875,3694.169921875,3694.169921875,n/a
29,2010-01-17,3784.1000976562,3784.1000976562,3784.1000976562,3784.1000976562,n/a
30,2010-01-18,3902.7600097656,3902.7600097656,3902.7600097656,3902.7600097656,n/a
31,2010-01-19,3956.2900390625,3956.2900390625,3956.2900390625,3956.2900390625,n/a
32,2010-01-20,3912.1999511719,3912.1999511719,3912.1999511719,3912.1999511719,n/a
33,2010-01-21,3919.7199707031,3919.7199707031,3919.7199707031,3919.7199707031,n/a
34,2010-01-24,3902.0100097656,3902.0100097656,3902.0100097656,3902.0100097656,n/a
35,2010-01-25,3887.7800292969,3887.7800292969,3887.7800292969,3887.7800292969,n/a
36,2010-01-26,3864.3400878906,3864.3400878906,3864.3400878906,3864.3400878906,n/a
37,2010-01-27,3863.1999511719,3863.1999511719,3863.1999511719,3863.1999511719,n/a
38,2010-01-28,3846.9099121094,3846.9099121094,3846.9099121094,3846.9099121094,n/a
39,2010-01-31,3841.2099609375,3841.2099609375,3841.2099609375,3841.2099609375,n/a
40,2010-02-01,3825.6599121094,3825.6599121094,3825.6599121094,3825.6599121094,n/a
41,2010-02-02,3806.169921875,3806.169921875,3806.169921875,3806.169921875,n/a
42,2010-02-03,3779.9399414062,3779.9399414062,3779.9399414062,3779.9399414062,n/a
43,2010-02-04,3731.8898925781,3731.8898925781,3731.8898925781,3731.8898925781,n/a
44,2010-02-07,3742.1499023438,3742.1499023438,3742.1499023438,3742.1499023438,n/a
45,2010-02-08,3799.3798828125,3799.3798828125,3799.3798828125,3799.3798828125,n/a
46,2010-02-10,3817.4799804688,3817.4799804688,3817.4799804688,3817.4799804688,n/a
47,2010-02-11,3826.6899414062,3826.6899414062,3826.6899414062,3826.6899414062,n/a
48,2010-02-14,3842.4699707031,3842.4699707031,3842.4699707031,3842.4699707031,n/a
49,2010-02-15,3855.2199707031,3855.2199707031,3855.2199707031,3855.2199707031,n/a
50,2010-02-16,3855.4799804688,3855.4799804688,3855.4799804688,3855.4799804688,n/a
51,2010-02-17,3839.3200683594,3839.3200683594,3839.3200683594,3839.3200683594,n/a
52,2010-02-18,3837.0700683594,3837.0700683594,3837.0700683594,3837.0700683594,n/a
53,2010-02-21,3840.5,3840.5,3840.5,3840.5,n/a
54,2010-02-22,3722.5900878906,3722.5900878906,3722.5900878906,3722.5900878906,n/a
55,2010-02-23,3645.4099121094,3645.4099121094,3645.4099121094,3645.4099121094,n/a
56,2010-02-24,3607.3898925781,3607.3898925781,3607.3898925781,3607.3898925781,n/a
57,2010-02-25,3620.1499023438,3620.1499023438,3620.1499023438,3620.1499023438,n/a
58,2010-02-28,3653.4599609375,3653.4599609375,3653.4599609375,3653.4599609375,n/a
59,2010-03-01,3651.5400390625,3651.5400390625,3651.5400390625,3651.5400390625,n/a
60,2010-03-02,3633.9299316406,3633.9299316406,3633.9299316406,3633.9299316406,n/a
61,2010-03-03,3615.7700195312,3615.7700195312,3615.7700195312,3615.7700195312,n/a
62,2010-03-04,3603.5600585938,3603.5600585938,3603.5600585938,3603.5600585938,n/a
63,2010-03-07,3606.5500488281,3606.5500488281,3606.5500488281,3606.5500488281,n/a
64,2010-03-08,3584.0500488281,3584.0500488281,3584.0500488281,3584.0500488281,n/a
65,2010-03-09,3586.6799316406,3586.6799316406,3586.6799316406,3586.6799316406,n/a
66,2010-03-10,3626.3000488281,3626.3000488281,3626.3000488281,3626.3000488281,n/a
67,2010-03-11,3595.8898925781,3595.8898925781,3595.8898925781,3595.8898925781,n/a
68,2010-03-14,3604.5200195312,3604.5200195312,3604.5200195312,3604.5200195312,n/a
69,2010-03-15,3604.8898925781,3604.8898925781,3604.8898925781,3604.8898925781,n/a
70,2010-03-16,3597.4899902344,3597.4899902344,3597.4899902344,3597.4899902344,n/a
71,2010-03-17,3590.1201171875,3590.1201171875,3590.1201171875,3590.1201171875,n/a
72,2010-03-21,3579.330078125,3579.330078125,3579.330078125,3579.330078125,n/a
73,2010-03-22,3570.1999511719,3570.1999511719,3570.1999511719,3570.1999511719,n/a
74,2010-03-23,3567.7700195312,3567.7700195312,3567.7700195312,3567.7700195312,n/a
75,2010-03-24,3589.25,3589.25,3589.25,3589.25,n/a
76,2010-03-25,3576.7099609375,3576.7099609375,3576.7099609375,3576.7099609375,n/a
77,2010-03-28,3568.4799804688,3568.4799804688,3568.4799804688,3568.4799804688,n/a
78,2010-03-29,3549.2399902344,3549.2399902344,3549.2399902344,3549.2399902344,n/a
79,2010-03-31,3576.0100097656,3576.0100097656,3576.0100097656,3576.0100097656,n/a
80,2010-04-04,3605.1799316406,3605.1799316406,3605.1799316406,3605.1799316406,n/a
81,2010-04-05,3592.2700195312,3592.2700195312,3592.2700195312,3592.2700195312,n/a
82,2010-04-06,3587.2099609375,3587.2099609375,3587.2099609375,3587.2099609375,n/a
83,2010-04-07,3588.3000488281,3588.3000488281,3588.3000488281,3588.3000488281,n/a
84,2010-04-08,3523.6000976562,3523.6000976562,3523.6000976562,3523.6000976562,n/a
85,2010-04-11,3502.5,3502.5,3502.5,3502.5,n/a
86,2010-04-12,3497.3999023438,3497.3999023438,3497.3999023438,3497.3999023438,n/a
87,2010-04-13,3492.0600585938,3492.0600585938,3492.0600585938,3492.0600585938,n/a
88,2010-04-14,3487.919921875,3487.919921875,3487.919921875,3487.919921875,n/a
89,2010-04-15,3492.5,3492.5,3492.5,3492.5,n/a
90,2010-04-18,3480.0300292969,3480.0300292969,3480.0300292969,3480.0300292969,n/a
91,2010-04-19,3479.4299316406,3479.4299316406,3479.4299316406,3479.4299316406,n/a
92,2010-04-20,3491.2199707031,3491.2199707031,3491.2199707031,3491.2199707031,n/a
93,2010-04-21,3500.3400878906,3500.3400878906,3500.3400878906,3500.3400878906,n/a
94,2010-04-22,3491.1799316406,3491.1799316406,3491.1799316406,3491.1799316406,n/a
95,2010-04-25,3518.169921875,3518.169921875,3518.169921875,3518.169921875,n/a
96,2010-04-26,3525.6799316406,3525.6799316406,3525.6799316406,3525.6799316406,n/a
97,2010-04-27,3516.2199707031,3516.2199707031,3516.2199707031,3516.2199707031,n/a
98,2010-04-28,3498.419921875,3498.419921875,3498.419921875,3498.419921875,n/a
99,2010-04-29,3505.9299316406,3505.9299316406,3505.9299316406,3505.9299316406,n/a
100,2010-05-02,3556.9799804688,3556.9799804688,3556.9799804688,3556.9799804688,n/a
101,2010-05-03,3562.4699707031,3562.4699707031,3562.4699707031,3562.4699707031,n/a
102,2010-05-04,3527.8100585938,3527.8100585938,3527.8100585938,3527.8100585938,n/a
