index,Date,Open,High,Low,Close,Volume
1,2009-12-02,1961.0400390625,1977.3000488281,1947.2099609375,1952.1800537109,0
2,2009-12-03,1952.1800537109,1982.4300537109,1939.1600341797,1961.8599853516,0
3,2009-12-06,1961.8599853516,1962.8599853516,1940.5200195312,1956.4399414062,0
4,2009-12-07,1958.3699951172,1966.1600341797,1934.6700439453,1938.6300048828,0
5,2009-12-08,1937.1300048828,1945.2800292969,1918.9499511719,1923.0300292969,0
6,2009-12-09,1923.2399902344,1948.8100585938,1922.8800048828,1938.4100341797,0
7,2009-12-10,1940.1199951172,1967.4599609375,1939.6999511719,1960.3699951172,0
8,2009-12-13,1962.7299804688,1977.0500488281,1961.6999511719,1963.0100097656,0
9,2009-12-14,1963.8699951172,1973.2800292969,1943.7800292969,1959.4100341797,0
10,2009-12-15,1959.4100341797,1969.5600585938,1958.7600097656,1967.8399658203,0
11,2009-12-16,1967.1999511719,1970.6099853516,1955.8699951172,1958.1400146484,0
12,2009-12-17,1957.9200439453,1973.5200195312,1948.3000488281,1948.3000488281,0
13,2009-12-20,1947.2299804688,1974.6099853516,1947.2299804688,1969.6800537109,0
14,2009-12-21,1971.4000244141,1999.2700195312,1970.5400390625,1998.0100097656,0
15,2009-12-22,1999.5100097656,2009.9699707031,1993.3599853516,2000.7399902344,0
16,2009-12-27,2002.2399902344,2016.0500488281,2001.7700195312,2006.8399658203,0
17,2009-12-28,2007.6999511719,2028.25,2005.4699707031,2027.7099609375,0
18,2009-12-29,2027.9200439453,2042.2600097656,2023.25,2032.5899658203,0
19,2010-01-03,2035.9100341797,2078.6899414062,2034.9399414062,2078.6899414062,0
20,2010-01-04,2078.4799804688,2092.4799804688,2072.6201171875,2084.5600585938,0
21,2010-01-06,2081.5600585938,2097.7399902344,2069.3100585938,2097.5300292969,0
22,2010-01-07,2098.919921875,2114.7199707031,2089.830078125,2108.1101074219,0
23,2010-01-10,2109.7199707031,2126.7800292969,2088.8798828125,2090.7399902344,0
24,2010-01-11,2091.169921875,2099.1101074219,2036.3699951172,2050.2399902344,0
25,2010-01-12,2048.9499511719,2073.9599609375,2041.2600097656,2061.9099121094,0
26,2010-01-13,2062.9799804688,2088.919921875,2062.9799804688,2077.4399414062,0
27,2010-01-14,2079.3701171875,2093.7900390625,2055.5700683594,2057.9499511719,0
28,2010-01-17,2057.4099121094,2081.8000488281,2057.4099121094,2079.2399902344,0
29,2010-01-18,2079.0300292969,2090.2800292969,2059.1000976562,2087.330078125,0
30,2010-01-19,2087.2299804688,2093.8999023438,2059.6398925781,2059.6398925781,0
31,2010-01-20,2061.6799316406,2090.0200195312,2051.2299804688,2059.2399902344,0
32,2010-01-21,2057.4099121094,2062.1298828125,2023.8199462891,2035.3199462891,0
33,2010-01-24,2033.1700439453,2055.9099121094,2024.8100585938,2031.9899902344,0
34,2010-01-25,2030.0600585938,2034.8100585938,1997.9599609375,2010.9799804688,0
35,2010-01-26,2010.8800048828,2039.7199707031,1991.4200439453,2022.5200195312,0
36,2010-01-27,2026.5899658203,2083.5700683594,2026.3800048828,2034.9100341797,0
37,2010-01-28,2039.1899414062,2069.0600585938,2035.1700439453,2057.1799316406,0
38,2010-01-31,2050.3500976562,2087.4399414062,2050.1499023438,2082.0700683594,0
39,2010-02-01,2083.080078125,2105.4299316406,2081.8601074219,2094.1201171875,0
40,2010-02-02,2095.1298828125,2101.5700683594,2084.75,2087.580078125,0
