index,Date,Open,High,Low,Close,Volume
0,2010-05-23,6872.3100585938,6894.9799804688,6746.9799804688,6819.6298828125,47124000
1,2010-05-24,6606.3198242188,6678.080078125,6566.0400390625,6632.3198242188,67627000
2,2010-05-25,6753.1298828125,6897.2299804688,6738.25,6844.1098632812,115831000
3,2010-05-26,6876.33984375,7095.9501953125,6860.0400390625,7088.7700195312,88883000
4,2010-05-27,7118.5200195312,7151.2099609375,7032.58984375,7068.080078125,69755000
5,2010-05-30,7035.6801757812,7093.33984375,7035.6801757812,7072.009765625,22218000
6,2010-05-31,7047.6298828125,7116.4702148438,6972.58984375,7101.0498046875,62190000
7,2010-06-01,7142.9799804688,7168.330078125,7008.83984375,7055.0200195312,77387000
8,2010-06-02,7137.9399414062,7174.8100585938,7112.83984375,7131.0200195312,47306000
9,2010-06-03,7140.9501953125,7172.16015625,6968.0,6974.4301757812,65785000
10,2010-06-06,6894.6000976562,7020.1298828125,6827.8598632812,6947.1499023438,53340000
11,2010-06-07,6996.490234375,7002.8198242188,6816.1499023438,6868.58984375,80203000
12,2010-06-08,6906.9799804688,6932.080078125,6834.419921875,6905.1098632812,56268000
13,2010-06-09,6856.6499023438,7088.7900390625,6841.6899414062,7088.7900390625,66808000
14,2010-06-10,7088.66015625,7185.8901367188,7070.2700195312,7145.1000976562,79585000
15,2010-06-13,7193.419921875,7199.9399414062,7123.1298828125,7192.2797851562,41105000
16,2010-06-14,7105.3798828125,7230.4301757812,7100.3901367188,7204.1298828125,47981000
17,2010-06-15,7251.6098632812,7263.759765625,7210.6000976562,7252.8798828125,55376000
18,2010-06-16,7251.1298828125,7300.6899414062,7210.5698242188,7232.490234375,40094000
19,2010-06-17,7248.7202148438,7411.3198242188,7248.7202148438,7411.3198242188,79446000
20,2010-06-20,7471.3100585938,7503.7001953125,7455.1899414062,7487.740234375,62550000
21,2010-06-21,7431.66015625,7488.509765625,7383.1801757812,7459.0400390625,42501000
22,2010-06-22,7409.509765625,7477.9301757812,7348.9301757812,7390.8999023438,57168000
23,2010-06-23,7420.3901367188,7420.3901367188,7186.509765625,7223.919921875,64061000
24,2010-06-24,7231.9799804688,7276.6401367188,7162.419921875,7219.1000976562,44486000
25,2010-06-27,7230.0600585938,7259.9799804688,7162.080078125,7214.3701171875,37947000
26,2010-06-28,7136.4599609375,7144.2900390625,7007.2202148438,7021.5297851562,154287008
27,2010-06-29,7106.6298828125,7202.419921875,6983.2797851562,7065.6499023438,91638000
28,2010-06-30,6988.6000976562,7074.990234375,6964.16015625,7019.2797851562,70895000
29,2010-07-01,7063.9399414062,7137.669921875,7020.8798828125,7075.7299804688,38263000
30,2010-07-04,7130.8100585938,7141.8100585938,7080.259765625,7106.2202148438,28470000
31,2010-07-05,7125.58984375,7265.2202148438,7125.58984375,7259.4799804688,49635000
32,2010-07-06,7201.6401367188,7393.2001953125,7193.83984375,7376.2700195312,82439000
33,2010-07-07,7412.6298828125,7462.4702148438,7386.41015625,7442.6401367188,87425000
34,2010-07-08,7466.0498046875,7480.2299804688,7304.16015625,7317.9301757812,76819000
35,2010-07-11,7292.8701171875,7321.7099609375,7254.6801757812,7305.08984375,51643000
36,2010-07-12,7296.16015625,7354.3999023438,7264.33984375,7312.58984375,49244000
37,2010-07-13,7355.0498046875,7365.4599609375,7235.330078125,7262.1801757812,51261000
38,2010-07-14,7228.0498046875,7326.3598632812,7220.4399414062,7266.6401367188,57161000
39,2010-07-15,7297.66015625,7300.009765625,7127.4301757812,7137.1098632812,42461000
40,2010-07-18,7064.1098632812,7182.009765625,7023.3198242188,7111.7001953125,41562000
41,2010-07-19,7160.9301757812,7200.8100585938,7077.3901367188,7146.41015625,39697000
42,2010-07-20,7199.7001953125,7204.740234375,7112.8198242188,7127.2900390625,34962000
43,2010-07-21,7097.3999023438,7289.08984375,7095.7001953125,7289.08984375,54791000
44,2010-07-22,7266.7001953125,7308.1201171875,7224.9399414062,7252.7001953125,39551000
45,2010-07-25,7333.7998046875,7333.7998046875,7258.0600585938,7291.83984375,48958000
46,2010-07-26,7310.2700195312,7405.2099609375,7309.9301757812,7381.5600585938,94583000
47,2010-07-27,7409.6899414062,7510.7700195312,7408.9301757812,7455.7700195312,95435000
48,2010-07-28,7429.7900390625,7462.5400390625,7398.2998046875,7407.5600585938,86257000
49,2010-07-29,7418.990234375,7435.740234375,7338.2900390625,7371.7900390625,50253000
50,2010-08-01,7406.7001953125,7512.6000976562,7392.41015625,7512.6000976562,38135000
51,2010-08-02,7499.7797851562,7556.2797851562,7484.7700195312,7531.0600585938,54943000
52,2010-08-03,7518.759765625,7577.2001953125,7510.8701171875,7569.0297851562,45497000
53,2010-08-04,7574.5600585938,7614.1899414062,7529.8798828125,7544.5498046875,51172000
54,2010-08-05,7554.4399414062,7580.9702148438,7412.1401367188,7415.3598632812,46549000
55,2010-08-08,7488.2001953125,7516.990234375,7478.5,7509.0400390625,27669000
56,2010-08-09,7502.0498046875,7504.7700195312,7437.4301757812,7464.330078125,26735000
57,2010-08-10,7427.2202148438,7430.66015625,7288.0498046875,7297.58984375,47193000
58,2010-08-11,7303.2001953125,7355.419921875,7245.2900390625,7299.2998046875,49361000
59,2010-08-12,7343.5297851562,7355.259765625,7257.169921875,7300.080078125,39976000
60,2010-08-15,7298.7797851562,7331.1298828125,7262.58984375,7325.5,37198000
61,2010-08-16,7344.3198242188,7458.4301757812,7333.2202148438,7458.4301757812,40231000
62,2010-08-17,7416.0297851562,7445.3798828125,7386.1201171875,7426.9301757812,27874000
63,2010-08-18,7443.4702148438,7494.259765625,7366.9501953125,7366.9501953125,51470000
64,2010-08-19,7382.7797851562,7405.1298828125,7339.2299804688,7370.5297851562,54101000
65,2010-08-22,7378.6801757812,7411.0498046875,7355.9501953125,7375.7202148438,30713000
66,2010-08-23,7342.5698242188,7352.2700195312,7297.0297851562,7321.509765625,47366000
67,2010-08-24,7310.919921875,7372.5498046875,7226.169921875,7256.6899414062,66828000
68,2010-08-25,7307.5600585938,7332.16015625,7279.2998046875,7321.08984375,48061000
69,2010-08-26,7313.4799804688,7366.7299804688,7291.990234375,7366.1499023438,57723000
70,2010-08-29,7391.8901367188,7408.0,7367.7900390625,7388.9799804688,22603000
71,2010-08-30,7311.9399414062,7394.1499023438,7300.2202148438,7394.1499023438,49750000
72,2010-08-31,7403.2299804688,7467.7299804688,7358.6000976562,7461.5600585938,59797000
73,2010-09-01,7457.58984375,7501.7099609375,7418.1401367188,7425.490234375,53223000
74,2010-09-02,7430.8500976562,7466.7001953125,7402.9501953125,7405.740234375,35847000
75,2010-09-05,7433.7099609375,7463.5200195312,7433.5400390625,7461.9702148438,25628000
76,2010-09-06,7456.1000976562,7464.080078125,7397.9501953125,7420.740234375,40945000
77,2010-09-07,7391.25,7412.1899414062,7326.83984375,7364.3198242188,65855000
78,2010-09-08,7364.5698242188,7438.7099609375,7352.8500976562,7438.7099609375,44389000
79,2010-09-09,7415.0297851562,7452.419921875,7413.2099609375,7439.740234375,34474000
80,2010-09-12,7481.6000976562,7536.3798828125,7481.6000976562,7534.8598632812,59959000
81,2010-09-13,7532.7797851562,7564.1899414062,7522.2998046875,7553.830078125,43487000
82,2010-09-14,7553.7001953125,7562.1098632812,7469.6000976562,7479.7099609375,43827000
83,2010-09-15,7492.75,7502.6201171875,7436.6499023438,7436.6499023438,40962000
84,2010-09-16,7477.9599609375,7504.669921875,7365.08984375,7406.9702148438,66621000
85,2010-09-19,7429.0297851562,7434.91015625,7320.669921875,7389.7299804688,54514000
86,2010-09-20,7381.009765625,7461.759765625,7359.3100585938,7438.8999023438,42775000
87,2010-09-21,7430.7299804688,7446.1401367188,7370.16015625,7392.830078125,54029000
88,2010-09-22,7399.7900390625,7430.1401367188,7321.5498046875,7382.2099609375,48302000
89,2010-09-23,7361.7797851562,7446.3598632812,7344.16015625,7444.0600585938,49024000
90,2010-09-26,7459.1401367188,7512.6401367188,7448.4501953125,7472.3798828125,52274000
91,2010-09-27,7415.3901367188,7494.0297851562,7411.3701171875,7473.2797851562,74328000
92,2010-09-28,7511.740234375,7545.2202148438,7463.8198242188,7476.0,81161000
93,2010-09-29,7452.4799804688,7533.759765625,7437.5498046875,7507.5698242188,55614000
94,2010-09-30,7550.2099609375,7616.259765625,7545.759765625,7586.7099609375,49593000
95,2010-10-03,7573.9301757812,7597.7998046875,7535.7099609375,7535.7099609375,30414000
96,2010-10-04,7531.2001953125,7645.3100585938,7529.740234375,7645.3100585938,31957000
97,2010-10-05,7666.7001953125,7710.830078125,7662.5200195312,7710.830078125,47538000
98,2010-10-06,7690.6201171875,7769.3798828125,7688.1899414062,7769.3798828125,45105000
99,2010-10-07,7759.75,7782.240234375,7724.5297851562,7782.240234375,32299000
100,2010-10-10,7773.1201171875,7778.16015625,7743.490234375,7778.16015625,29143000
101,2010-10-11,7727.259765625,7744.4599609375,7679.2001953125,7695.490234375,36620000
102,2010-10-12,7709.3500976562,7772.330078125,7707.2299804688,7772.330078125,32608000
103,2010-10-13,7770.6298828125,7793.830078125,7722.0698242188,7755.0400390625,46036000
104,2010-10-14,7770.1401367188,7811.4301757812,7756.0498046875,7811.4301757812,46254000
105,2010-10-17,7784.0,7868.1000976562,7779.3198242188,7860.580078125,58559000
106,2010-10-18,7861.83984375,7917.2001953125,7861.5,7891.1201171875,71625000
107,2010-10-19,7850.5498046875,7878.919921875,7839.5498046875,7861.1098632812,60932000
108,2010-10-20,7827.5297851562,7914.25,7824.009765625,7912.740234375,54239000
109,2010-10-21,7917.169921875,7949.990234375,7893.7797851562,7930.580078125,32015000
110,2010-10-24,7954.6899414062,7993.1098632812,7944.0,7986.0,32650000
111,2010-10-25,7981.3701171875,8037.3598632812,7978.919921875,8027.5400390625,47412000
112,2010-10-26,8008.009765625,8077.7700195312,7917.83984375,7927.3198242188,93090000
113,2010-10-27,7927.2700195312,8059.490234375,7926.7797851562,8043.509765625,51615000
114,2010-10-28,8051.2998046875,8087.2001953125,8013.259765625,8082.759765625,66995000
115,2010-10-31,8150.66015625,8198.7197265625,8121.2797851562,8121.2797851562,53919000
116,2010-11-01,8159.1899414062,8199.08984375,8126.6298828125,8126.6298828125,59796000
117,2010-11-02,8180.080078125,8202.08984375,8055.990234375,8074.6499023438,65412000
