index,Date,Open,High,Low,Close,Volume
1,2009-12-02,1325.9899902344,1325.9899902344,1325.9899902344,1325.9899902344,0
2,2009-12-05,1332.0400390625,1332.0400390625,1332.0400390625,1332.0400390625,0
3,2009-12-06,1340.8699951172,1340.8699951172,1340.8699951172,1340.8699951172,0
4,2009-12-07,1315.4699707031,1315.4699707031,1315.4699707031,1315.4699707031,0
5,2009-12-08,1290.3699951172,1290.3699951172,1290.3699951172,1290.3699951172,0
6,2009-12-09,1304.7700195312,1304.7700195312,1304.7700195312,1304.7700195312,0
7,2009-12-12,1315.4699707031,1315.4699707031,1315.4699707031,1315.4699707031,0
8,2009-12-13,1343.8599853516,1343.8599853516,1343.8599853516,1343.8599853516,0
9,2009-12-14,1335.5799560547,1335.5799560547,1335.5799560547,1335.5799560547,0
10,2009-12-15,1338.5699462891,1338.5699462891,1338.5699462891,1338.5699462891,0
11,2009-12-19,1333.3000488281,1333.3000488281,1333.3000488281,1333.3000488281,0
12,2009-12-20,1327.2700195312,1327.2700195312,1327.2700195312,1327.2700195312,0
13,2009-12-21,1325.1600341797,1325.1600341797,1325.1600341797,1325.1600341797,0
14,2009-12-22,1319.9899902344,1319.9899902344,1319.9899902344,1319.9899902344,0
15,2009-12-23,1324.3399658203,1324.3399658203,1324.3399658203,1324.3399658203,0
16,2009-12-26,1323.5100097656,1323.5100097656,1323.5100097656,1323.5100097656,0
17,2009-12-27,1325.0699462891,1325.0699462891,1325.0699462891,1325.0699462891,0
18,2009-12-28,1323.8499755859,1323.8499755859,1323.8499755859,1323.8499755859,0
19,2009-12-29,1321.8499755859,1321.8499755859,1321.8499755859,1321.8499755859,0
20,2009-12-30,1317.7800292969,1317.7800292969,1317.7800292969,1317.7800292969,0
21,2010-01-02,1325.1199951172,1325.1199951172,1325.1199951172,1325.1199951172,0
22,2010-01-03,1316.1099853516,1316.1099853516,1316.1099853516,1316.1099853516,0
23,2010-01-04,1324.6600341797,1324.6600341797,1324.6600341797,1324.6600341797,0
24,2010-01-05,1325.3499755859,1325.3499755859,1325.3499755859,1325.3499755859,0
25,2010-01-06,1328.0100097656,1328.0100097656,1328.0100097656,1328.0100097656,0
26,2010-01-09,1331.1199951172,1331.1199951172,1331.1199951172,1331.1199951172,0
27,2010-01-10,1329.5400390625,1329.5400390625,1329.5400390625,1329.5400390625,0
28,2010-01-11,1313.4799804688,1313.4799804688,1313.4799804688,1313.4799804688,0
29,2010-01-12,1300.0400390625,1300.0400390625,1300.0400390625,1300.0400390625,0
30,2010-01-13,1304.3699951172,1304.3699951172,1304.3699951172,1304.3699951172,0
