index,Date,Open,High,Low,Close,Volume
1,2009-12-02,2221.1298828125,2233.2800292969,2213.0600585938,2213.0600585938,n/a
2,2009-12-03,2213.0600585938,2236.2199707031,2165.5,2174.4699707031,n/a
3,2009-12-06,2174.4699707031,2185.3701171875,2166.6101074219,2173.0,n/a
4,2009-12-08,2172.5100097656,2172.5100097656,2138.3898925781,2162.6298828125,n/a
5,2009-12-09,2164.169921875,2179.6000976562,2162.5500488281,2179.6000976562,n/a
6,2009-12-10,2179.2399902344,2194.3400878906,2171.9399414062,2177.6298828125,n/a
7,2009-12-13,2178.0500488281,2218.1101074219,2178.0500488281,2216.5400390625,n/a
8,2009-12-14,2218.5700683594,2222.9299316406,2206.0500488281,2214.9099121094,n/a
9,2009-12-15,2216.3100585938,2238.330078125,2216.3100585938,2229.6499023438,n/a
10,2009-12-16,2220.9899902344,2228.0300292969,2199.8999023438,2225.4799804688,n/a
11,2009-12-17,2226.1000976562,2241.6398925781,2209.5400390625,2215.4499511719,n/a
12,2009-12-20,2220.9899902344,2242.4299316406,2215.4099121094,2216.3999023438,n/a
13,2009-12-21,2218.9899902344,2244.5600585938,2218.3701171875,2241.0900878906,n/a
14,2009-12-22,2243.1398925781,2252.4299316406,2240.5700683594,2249.3500976562,n/a
15,2009-12-23,2243.1398925781,2252.4299316406,2240.5700683594,2249.3500976562,n/a
16,2009-12-27,2249.9699707031,2288.1000976562,2249.9699707031,2282.580078125,n/a
17,2009-12-28,2283.7199707031,2325.1999511719,2283.7199707031,2318.3898925781,n/a
18,2009-12-29,2316.1899414062,2328.1398925781,2305.4499511719,2320.7299804688,n/a
19,2009-12-30,2316.1899414062,2328.1398925781,2305.4499511719,2320.7299804688,n/a
20,2010-01-03,2329.8100585938,2393.6201171875,2329.8100585938,2384.4899902344,n/a
21,2010-01-04,2384.8999023438,2411.3999023438,2384.8999023438,2401.75,n/a
22,2010-01-05,2400.3601074219,2401.0600585938,2347.3100585938,2362.4599609375,n/a
23,2010-01-06,2362.4599609375,2392.8100585938,2331.919921875,2389.4499511719,n/a
24,2010-01-07,2378.1398925781,2378.1398925781,2334.6499023438,2352.7600097656,n/a
25,2010-01-10,2357.330078125,2361.0900878906,2313.6999511719,2317.7399902344,n/a
26,2010-01-11,2316.9099121094,2316.9099121094,2247.5700683594,2270.4899902344,n/a
27,2010-01-12,2270.4899902344,2339.9799804688,2270.4899902344,2338.0700683594,n/a
28,2010-01-13,2341.919921875,2385.7299804688,2341.919921875,2381.0400390625,n/a
29,2010-01-14,2379.6398925781,2381.5600585938,2350.3999023438,2371.1101074219,n/a
30,2010-01-17,2371.1101074219,2379.7700195312,2368.419921875,2371.8601074219,n/a
31,2010-01-18,2368.6000976562,2395.3400878906,2355.75,2388.3100585938,n/a
32,2010-01-19,2388.5100097656,2388.5100097656,2336.1298828125,2351.5400390625,n/a
33,2010-01-20,2352.3601074219,2362.4499511719,2314.1398925781,2340.1999511719,n/a
34,2010-01-21,2332.669921875,2349.8100585938,2303.8100585938,2331.6000976562,n/a
35,2010-01-24,2332.6298828125,2343.7199707031,2297.330078125,2321.1999511719,n/a
36,2010-01-25,2323.4299316406,2325.3898925781,2298.919921875,2309.25,n/a
37,2010-01-26,2309.919921875,2315.6999511719,2281.0600585938,2306.2099609375,n/a
38,2010-01-27,2306.9099121094,2327.6000976562,2281.5900878906,2293.8100585938,n/a
39,2010-01-28,2297.2399902344,2329.580078125,2292.9399414062,2298.5500488281,n/a
40,2010-01-31,2296.7299804688,2315.3000488281,2287.7399902344,2313.8100585938,n/a
41,2010-02-01,2314.8500976562,2342.8200683594,2314.4399414062,2342.8200683594,n/a
42,2010-02-02,2343.6499023438,2343.6499023438,2320.4899902344,2325.7900390625,n/a
43,2010-02-03,2320.3000488281,2320.3000488281,2235.080078125,2236.9599609375,n/a
44,2010-02-04,2227.1599121094,2231.6799316406,2151.1000976562,2165.1499023438,n/a
45,2010-02-07,2165.1499023438,2202.2099609375,2165.1499023438,2187.830078125,n/a
46,2010-02-08,2190.9599609375,2239.3000488281,2190.9599609375,2233.7399902344,n/a
47,2010-02-09,2234.0,2247.6101074219,2218.25,2239.3701171875,n/a
48,2010-02-10,2240.7600097656,2283.7600097656,2240.7600097656,2280.9599609375,n/a
49,2010-02-11,2277.9499511719,2280.6000976562,2257.8500976562,2273.4099121094,n/a
50,2010-02-14,2277.0700683594,2282.1398925781,2266.2800292969,2276.830078125,n/a
51,2010-02-15,2282.2900390625,2303.2299804688,2281.6000976562,2301.0900878906,n/a
52,2010-02-16,2306.6398925781,2329.4399414062,2306.6398925781,2320.669921875,n/a
53,2010-02-17,2320.669921875,2334.4399414062,2311.1599121094,2334.4399414062,n/a
54,2010-02-18,2333.8798828125,2336.8898925781,2308.2399902344,2334.9899902344,n/a
55,2010-02-21,2335.6101074219,2358.0700683594,2335.6101074219,2346.7299804688,n/a
56,2010-02-22,2345.6398925781,2345.6398925781,2285.330078125,2296.6298828125,n/a
57,2010-02-23,2296.6298828125,2314.2700195312,2288.8000488281,2292.2199707031,n/a
58,2010-02-24,2237.2199707031,2237.2199707031,2188.4599609375,2211.6999511719,n/a
59,2010-02-25,2211.0500488281,2225.3400878906,2202.3601074219,2221.3798828125,n/a
