index,Date,Open,High,Low,Close,Volume
1,2009-12-02,4764.5,4787.0,4754.3999023438,4774.6000976562,1107754880
2,2009-12-03,4760.3999023438,4760.6000976562,4687.6000976562,4702.2001953125,876985280
3,2009-12-06,4707.3999023438,4723.1000976562,4651.1000976562,4676.5,793969472
4,2009-12-07,4676.5,4697.2001953125,4655.6000976562,4670.6000976562,1013673984
5,2009-12-08,4662.8999023438,4662.8999023438,4596.2001953125,4637.8999023438,972288832
6,2009-12-09,4637.2998046875,4652.3999023438,4596.6000976562,4606.7001953125,1226655616
7,2009-12-10,4611.7998046875,4646.0,4611.7998046875,4635.2001953125,940572096
8,2009-12-13,4635.6000976562,4654.0,4608.2998046875,4654.0,802190336
9,2009-12-14,4660.0,4691.1000976562,4658.6000976562,4673.5,1054297600
10,2009-12-15,4671.0,4689.1000976562,4656.1000976562,4661.8999023438,921444480
11,2009-12-16,4674.0,4703.1000976562,4649.2001953125,4670.2998046875,1767475200
12,2009-12-17,4653.5,4657.2998046875,4604.7001953125,4650.5,1387312896
13,2009-12-20,4660.3999023438,4693.5,4635.1000976562,4635.1000976562,20102512
14,2009-12-21,4643.7001953125,4704.2001953125,4643.7001953125,4704.2001953125,615462976
15,2009-12-22,4704.5,4742.6000976562,4694.8999023438,4739.2998046875,551917568
16,2009-12-23,4749.2998046875,4790.8999023438,4749.2998046875,4790.8999023438,372385056
17,2009-12-28,4796.5,4858.0,4796.5,4845.1000976562,507041664
18,2009-12-29,4844.3999023438,4867.7998046875,4833.2998046875,4833.2998046875,379786272
19,2009-12-30,4842.1000976562,4873.6000976562,4842.1000976562,4870.6000976562,314585792
20,2010-01-03,4864.8999023438,4888.7001953125,4862.2998046875,4876.2998046875,465656224
21,2010-01-04,4887.2998046875,4930.7001953125,4887.2998046875,4924.2998046875,859705664
22,2010-01-05,4927.7001953125,4938.5,4915.2998046875,4921.3999023438,871209152
23,2010-01-06,4922.7998046875,4938.1000976562,4898.8999023438,4899.3999023438,868526208
24,2010-01-07,4900.2998046875,4937.8999023438,4900.2998046875,4912.1000976562,644003776
25,2010-01-10,4921.8999023438,4955.1000976562,4921.7001953125,4950.7001953125,653837568
26,2010-01-11,4938.6000976562,4940.0,4893.1000976562,4899.5,737500096
27,2010-01-12,4886.2998046875,4887.0,4852.8999023438,4868.1000976562,872676416
28,2010-01-13,4876.0,4920.5,4875.1000976562,4898.0,693157952
29,2010-01-14,4896.5,4905.3999023438,4857.7998046875,4899.6000976562,740098880
30,2010-01-17,4890.6000976562,4917.1000976562,4865.6000976562,4911.1000976562,820797120
31,2010-01-18,4914.8999023438,4930.0,4861.2001953125,4861.2001953125,896557248
32,2010-01-19,4874.7001953125,4905.7998046875,4865.6000976562,4868.2001953125,821857280
33,2010-01-20,4854.2001953125,4854.8999023438,4822.2001953125,4827.2001953125,1103284992
34,2010-01-21,4793.8999023438,4793.8999023438,4716.0,4750.6000976562,1175488128
