index,Date,Open,High,Low,Close,Volume
1,2009-12-02,3267.9899902344,3270.3701171875,3227.7700195312,3264.6298828125,15921999872
2,2009-12-03,3256.6101074219,3319.1298828125,3214.8400878906,3317.0400390625,21594499072
3,2009-12-06,3313.0600585938,3334.0100097656,3302.1298828125,3331.8999023438,13987600384
4,2009-12-07,3330.330078125,3330.3798828125,3260.669921875,3296.6599121094,13706600448
5,2009-12-08,3258.0,3284.6398925781,3228.1999511719,3239.5700683594,11509499904
6,2009-12-09,3258.3500976562,3276.1298828125,3225.5600585938,3254.2600097656,9430700032
7,2009-12-10,3260.4499511719,3280.9399414062,3242.3701171875,3247.3200683594,9154299904
8,2009-12-13,3246.9499511719,3315.0300292969,3178.2299804688,3302.8999023438,11824300032
9,2009-12-14,3283.6000976562,3303.1799316406,3267.9299316406,3274.4599609375,10148500480
10,2009-12-15,3262.8601074219,3299.330078125,3246.6101074219,3255.2099609375,10387399680
11,2009-12-16,3261.6101074219,3272.9699707031,3176.6298828125,3179.080078125,10564700160
12,2009-12-17,3154.8200683594,3169.580078125,3108.0300292969,3113.8898925781,10186600448
13,2009-12-20,3108.0700683594,3123.9899902344,3088.0,3122.9699707031,7456799744
14,2009-12-21,3126.6101074219,3129.3100585938,3039.8601074219,3050.5200195312,8508100096
15,2009-12-22,3048.1999511719,3078.8400878906,3041.3500976562,3073.7800292969,8005799936
16,2009-12-23,3080.8701171875,3156.5300292969,3075.1101074219,3153.4099121094,10240600064
17,2009-12-24,3149.2299804688,3154.7700195312,3128.1499023438,3141.3500976562,8454600192
18,2009-12-27,3148.8601074219,3202.0900878906,3148.8601074219,3188.7800292969,9121200128
19,2009-12-28,3190.169921875,3212.5200195312,3166.7600097656,3211.7600097656,10261300224
20,2009-12-29,3211.830078125,3267.0,3206.2199707031,3262.6000976562,12945600512
21,2009-12-30,3265.0,3282.2099609375,3250.0300292969,3277.1398925781,11651999744
22,2010-01-03,3289.75,3295.2800292969,3243.3200683594,3243.7600097656,10944799744
23,2010-01-04,3254.4699707031,3290.5100097656,3221.4599609375,3282.1799316406,12611500032
24,2010-01-05,3277.5200195312,3295.8701171875,3253.0400390625,3254.2199707031,12365100032
25,2010-01-06,3253.9899902344,3268.8200683594,3176.7099609375,3192.7800292969,12865300480
26,2010-01-07,3177.2600097656,3198.919921875,3149.0200195312,3196.0,9837700096
27,2010-01-10,3301.6101074219,3306.75,3197.330078125,3212.75,13632700416
28,2010-01-11,3205.6999511719,3275.1999511719,3180.0900878906,3273.9699707031,14065500160
29,2010-01-12,3204.9799804688,3232.8200683594,3165.4899902344,3172.6599121094,15834399744
30,2010-01-13,3183.3798828125,3219.0200195312,3165.5900878906,3215.5500488281,13595499520
31,2010-01-14,3217.1899414062,3241.8200683594,3197.2199707031,3224.1499023438,12054099968
32,2010-01-17,3213.6398925781,3238.2399902344,3202.2099609375,3237.1000976562,13506700288
33,2010-01-18,3242.2199707031,3268.8100585938,3236.8400878906,3246.8701171875,12994400256
34,2010-01-19,3252.0400390625,3255.1298828125,3148.330078125,3151.8500976562,15824300032
35,2010-01-20,3154.1899414062,3176.1499023438,3126.8999023438,3158.8601074219,11433700352
36,2010-01-21,3118.7199707031,3147.830078125,3062.6298828125,3128.5900878906,13775899648
37,2010-01-24,3103.3200683594,3137.0,3092.9299316406,3094.4099121094,7836199936
38,2010-01-25,3094.8500976562,3107.1999511719,3001.9599609375,3019.3898925781,9350700032
39,2010-01-26,3020.5400390625,3028.6499023438,2972.6298828125,2986.6101074219,7655199744
40,2010-01-27,2985.2099609375,3006.0400390625,2963.8898925781,2994.1398925781,7336600064
41,2010-01-28,2979.7399902344,3024.8500976562,2968.4499511719,2989.2900390625,8047600128
42,2010-01-31,2981.3701171875,2981.3701171875,2912.8898925781,2941.3601074219,8814699520
43,2010-02-01,2955.75,2990.75,2930.5600585938,2934.7099609375,8248600064
44,2010-02-02,2945.0300292969,3005.1298828125,2890.0200195312,3003.8400878906,10102299648
45,2010-02-03,2983.0500488281,3015.1298828125,2968.6799316406,2995.3100585938,9991799808
46,2010-02-04,2936.1999511719,2959.2299804688,2918.9099121094,2939.3999023438,9727500288
