index,Date,Open,High,Low,Close,Volume
0,2009-12-04,6355.8198242188,6355.8198242188,6208.1000976562,6288.2700195312,89254912
1,2009-12-05,6288.2700195312,6325.8701171875,6287.3500976562,6309.0498046875,106526832
2,2009-12-06,6309.0498046875,6309.669921875,6239.1899414062,6246.5,92099888
3,2009-12-07,6246.5,6246.5,6045.0,6102.6201171875,123776248
4,2009-12-08,6102.6201171875,6102.6201171875,5926.4702148438,5954.1298828125,112689032
5,2009-12-11,5954.1298828125,6110.7202148438,5954.1298828125,6025.5,107512576
6,2009-12-12,6025.5,6048.9399414062,5984.2900390625,6025.919921875,79431056
7,2009-12-13,6025.919921875,6167.6000976562,6025.919921875,6155.0297851562,112111960
8,2009-12-14,6155.0297851562,6155.169921875,6099.490234375,6109.7900390625,92698384
9,2009-12-15,6109.7900390625,6156.0498046875,6102.3198242188,6153.8500976562,73298552
10,2009-12-18,6153.8500976562,6204.2998046875,6150.41015625,6203.8500976562,92799576
11,2009-12-19,6203.8500976562,6234.66015625,6189.6201171875,6217.08984375,99350672
12,2009-12-20,6217.08984375,6252.2099609375,6201.4799804688,6252.2099609375,99628664
13,2009-12-21,6252.2099609375,6274.4399414062,6216.3198242188,6229.169921875,77073880
14,2009-12-22,6229.169921875,6249.0297851562,6198.6401367188,6243.9301757812,100703320
15,2009-12-25,6243.9301757812,6292.330078125,6243.9301757812,6271.5400390625,132569664
16,2009-12-26,6271.5400390625,6278.7998046875,6233.7900390625,6254.669921875,98642544
17,2009-12-27,6254.669921875,6264.5200195312,6169.25,6177.75,114495576
18,2009-12-28,6177.75,6189.2099609375,6093.4399414062,6121.7797851562,97588816
19,2009-12-29,6121.7797851562,6147.1000976562,6082.419921875,6121.759765625,80456032
20,2010-01-01,6121.759765625,6142.5698242188,6110.4301757812,6141.6298828125,56130416
21,2010-01-02,6141.6298828125,6152.5400390625,6123.91015625,6149.91015625,65895104
22,2010-01-03,6149.91015625,6202.3198242188,6134.7202148438,6201.759765625,80335040
23,2010-01-04,6201.759765625,6254.0297851562,6201.759765625,6239.1000976562,102019760
24,2010-01-05,6239.1000976562,6269.8100585938,6232.7099609375,6260.8999023438,107294816
25,2010-01-08,6260.8999023438,6321.7299804688,6260.8999023438,6321.7299804688,124404544
26,2010-01-09,6321.7299804688,6343.4399414062,6307.5498046875,6318.1401367188,114465352
27,2010-01-10,6318.1401367188,6318.1401367188,6248.6201171875,6291.3901367188,103442448
28,2010-01-11,6291.3901367188,6291.3901367188,6238.6499023438,6266.259765625,139063760
29,2010-01-12,6266.259765625,6304.0498046875,6242.2099609375,6262.830078125,185619456
30,2010-01-15,6262.830078125,6332.9399414062,6238.2001953125,6326.1899414062,172605520
31,2010-01-16,6326.1899414062,6396.490234375,6307.66015625,6393.6499023438,153808592
