index,Date,Open,High,Low,Close,Volume
0,2011-08-11,1273.2600097656,1273.2600097656,1273.2600097656,1273.2600097656,n/a
1,2011-08-14,1273.4899902344,1273.4899902344,1273.4899902344,1273.4899902344,n/a
2,2011-08-15,1273.4899902344,1273.4899902344,1273.4899902344,1273.4899902344,n/a
3,2011-08-16,1273.7700195312,1273.7700195312,1273.7700195312,1273.7700195312,n/a
4,2011-08-17,1273.7700195312,1273.7700195312,1273.7700195312,1273.7700195312,n/a
5,2011-08-18,1274.3800048828,1274.3800048828,1274.3800048828,1274.3800048828,n/a
6,2011-08-21,1274.4499511719,1274.4499511719,1274.4499511719,1274.4499511719,n/a
7,2011-08-22,1274.4499511719,1274.4499511719,1274.4499511719,1274.4499511719,n/a
8,2011-08-23,1274.4499511719,1274.4499511719,1274.4499511719,1274.4499511719,n/a
9,2011-08-24,1275.2900390625,1275.2900390625,1275.2900390625,1275.2900390625,n/a
10,2011-08-25,1275.7900390625,1275.7900390625,1275.7900390625,1275.7900390625,n/a
11,2011-08-28,1275.7900390625,1275.7900390625,1275.7900390625,1275.7900390625,n/a
12,2011-09-01,1279.0100097656,1279.0100097656,1279.0100097656,1279.0100097656,n/a
13,2011-09-04,1279.5500488281,1279.5500488281,1279.5500488281,1279.5500488281,n/a
14,2011-09-05,1279.8299560547,1279.8299560547,1279.8299560547,1279.8299560547,n/a
15,2011-09-06,1279.8299560547,1279.8299560547,1279.8299560547,1279.8299560547,n/a
16,2011-09-07,1282.5100097656,1282.5100097656,1282.5100097656,1282.5100097656,n/a
17,2011-09-08,1283.7700195312,1283.7700195312,1283.7700195312,1283.7700195312,n/a
18,2011-09-11,1284.7700195312,1284.7700195312,1284.7700195312,1284.7700195312,n/a
19,2011-09-12,1286.0300292969,1286.0300292969,1286.0300292969,1286.0300292969,n/a
20,2011-09-13,1286.4599609375,1286.4599609375,1286.4599609375,1286.4599609375,n/a
21,2011-09-14,1286.6899414062,1286.6899414062,1286.6899414062,1286.6899414062,n/a
22,2011-09-15,1286.6899414062,1286.6899414062,1286.6899414062,1286.6899414062,n/a
23,2011-09-18,1286.6899414062,1286.6899414062,1286.6899414062,1286.6899414062,n/a
24,2011-09-19,1286.6899414062,1286.6899414062,1286.6899414062,1286.6899414062,n/a
25,2011-09-20,1285.8000488281,1285.8000488281,1285.8000488281,1285.8000488281,n/a
26,2011-09-21,1285.8000488281,1285.8000488281,1285.8000488281,1285.8000488281,n/a
27,2011-09-22,1285.8000488281,1285.8000488281,1285.8000488281,1285.8000488281,n/a
28,2011-09-25,1285.8000488281,1285.8000488281,1285.8000488281,1285.8000488281,n/a
29,2011-09-26,1285.8699951172,1285.8699951172,1285.8699951172,1285.8699951172,n/a
30,2011-09-27,1285.8699951172,1285.8699951172,1285.8699951172,1285.8699951172,n/a
31,2011-09-28,1285.8699951172,1285.8699951172,1285.8699951172,1285.8699951172,n/a
32,2011-09-29,1286.7099609375,1286.7099609375,1286.7099609375,1286.7099609375,n/a
33,2011-10-02,1286.7099609375,1286.7099609375,1286.7099609375,1286.7099609375,n/a
34,2011-10-03,1286.7099609375,1286.7099609375,1286.7099609375,1286.7099609375,n/a
35,2011-10-04,1297.2700195312,1297.2700195312,1297.2700195312,1297.2700195312,n/a
36,2011-10-05,1297.2700195312,1297.2700195312,1297.2700195312,1297.2700195312,n/a
37,2011-10-06,1297.2700195312,1297.2700195312,1297.2700195312,1297.2700195312,n/a
38,2011-10-09,1296.5,1296.5,1296.5,1296.5,n/a
39,2011-10-10,1296.5,1296.5,1296.5,1296.5,n/a
40,2011-10-11,1296.5,1296.5,1296.5,1296.5,n/a
41,2011-10-12,1305.9100341797,1305.9100341797,1305.9100341797,1305.9100341797,n/a
42,2011-10-16,1305.9100341797,1305.9100341797,1305.9100341797,1305.9100341797,n/a
43,2011-10-17,1304.6400146484,1304.6400146484,1304.6400146484,1304.6400146484,n/a
44,2011-10-18,1303.5699462891,1303.5699462891,1303.5699462891,1303.5699462891,n/a
45,2011-10-19,1304.4499511719,1304.4499511719,1304.4499511719,1304.4499511719,n/a
46,2011-10-20,1305.9899902344,1305.9899902344,1305.9899902344,1305.9899902344,n/a
47,2011-10-23,1307.25,1307.25,1307.25,1307.25,n/a
48,2011-10-24,1307.1800537109,1307.1800537109,1307.1800537109,1307.1800537109,n/a
49,2011-10-25,1306.1800537109,1306.1800537109,1306.1800537109,1306.1800537109,n/a
50,2011-10-26,1304.9200439453,1304.9200439453,1304.9200439453,1304.9200439453,n/a
51,2011-10-27,1303.6899414062,1303.6899414062,1303.6899414062,1303.6899414062,n/a
52,2011-10-30,1303.6899414062,1303.6899414062,1303.6899414062,1303.6899414062,n/a
53,2011-10-31,1303.6899414062,1303.6899414062,1303.6899414062,1303.6899414062,n/a
54,2011-11-01,1303.6899414062,1303.6899414062,1303.6899414062,1303.6899414062,n/a
55,2011-11-02,1303.6899414062,1303.6899414062,1303.6899414062,1303.6899414062,n/a
56,2011-11-03,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
57,2011-11-06,1303.5600585938,1303.5600585938,1303.5600585938,1303.5600585938,n/a
58,2011-11-07,1302.6899414062,1302.6899414062,1302.6899414062,1302.6899414062,n/a
59,2011-11-08,1302.6899414062,1302.6899414062,1302.6899414062,1302.6899414062,n/a
60,2011-11-09,1303.7600097656,1303.7600097656,1303.7600097656,1303.7600097656,n/a
61,2011-11-10,1303.6999511719,1303.6999511719,1303.6999511719,1303.6999511719,n/a
62,2011-11-13,1303.7600097656,1303.7600097656,1303.7600097656,1303.7600097656,n/a
63,2011-11-14,1303.7600097656,1303.7600097656,1303.7600097656,1303.7600097656,n/a
64,2011-11-15,1303.7600097656,1303.7600097656,1303.7600097656,1303.7600097656,n/a
65,2011-11-16,1302.6899414062,1302.6899414062,1302.6899414062,1302.6899414062,n/a
66,2011-11-17,1302.6899414062,1302.6899414062,1302.6899414062,1302.6899414062,n/a
67,2011-11-20,1302.6899414062,1302.6899414062,1302.6899414062,1302.6899414062,n/a
68,2011-11-21,1302.6899414062,1302.6899414062,1302.6899414062,1302.6899414062,n/a
69,2011-11-22,1302.6899414062,1302.6899414062,1302.6899414062,1302.6899414062,n/a
70,2011-11-23,1302.6899414062,1302.6899414062,1302.6899414062,1302.6899414062,n/a
71,2011-11-24,1303.7600097656,1303.7600097656,1303.7600097656,1303.7600097656,n/a
72,2011-11-27,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
73,2011-11-28,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
74,2011-11-29,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
75,2011-11-30,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
76,2011-12-01,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
77,2011-12-05,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
78,2011-12-06,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
79,2011-12-07,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
80,2011-12-11,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
81,2011-12-12,1303.8399658203,1303.8399658203,1303.8399658203,1303.8399658203,n/a
