index,Date,Open,High,Low,Close,volume
1,2009-12-02,1447.5,1458.5,1432.5,1454.5,0
2,2009-12-03,1456.5,1460.5,1453.5,1454.5,0
3,2009-12-06,1454.5,1464.5,1452.5,1462.5,0
4,2009-12-07,1462.5,1465.5,1432.5,1458.5,0
5,2009-12-08,1458.5,1465.5,1432.5,1457.5,0
6,2009-12-09,1457.5,1466.5,1437.5,1457.5,0
7,2009-12-10,1464.5,1464.5,1437.5,1457.5,0
8,2009-12-13,1457.5,1457.5,1432.5,1457.5,0
9,2009-12-14,1457.5,1457.5,1427.5,1457.5,0
10,2009-12-15,1457.5,1457.5,1412.5,1457.5,0
11,2009-12-16,1412.5,1457.5,1412.5,1432.5,0
12,2009-12-17,1432.5,1435.5,1402.5,1432.5,0
13,2009-12-20,1432.5,1432.5,1427.5,1432.5,0
14,2009-12-21,1432.5,1432.5,1412.5,1432.5,0
15,2009-12-22,1426.5,1432.5,1426.5,1427.5,0
16,2009-12-23,1427.5,1437.5,1422.5,1427.5,0
17,2009-12-24,1430.5,1435.5,1417.5,1435.5,0
18,2009-12-27,1427.5,1436.5,1427.5,1432.5,0
19,2009-12-28,1432.5,1439.5,1432.5,1432.5,0
20,2009-12-29,1432.5,1442.5,1432.5,1432.5,0
21,2009-12-30,1432.5,1445.5,1432.5,1432.5,0
22,2009-12-31,1432.5,1432.5,1432.5,1432.5,0
23,2010-01-03,1437.5,1447.5,1432.5,1432.5,0
24,2010-01-04,1432.5,1452.5,1432.5,1432.5,0
25,2010-01-05,1432.5,1457.5,1432.5,1452.5,0
26,2010-01-06,1452.5,1472.5,1437.5,1472.5,0
27,2010-01-07,1472.5,1472.5,1437.5,1472.5,0
28,2010-01-10,1472.5,1477.5,1437.5,1472.5,0
29,2010-01-11,1472.5,1472.5,1437.5,1472.5,0
30,2010-01-12,1472.5,1472.5,1432.5,1452.5,0
31,2010-01-13,1432.5,1460.5,1432.5,1452.5,0
32,2010-01-14,1452.5,1460.5,1432.5,1454.5,0
33,2010-01-17,1454.5,1457.5,1432.5,1457.5,0
34,2010-01-18,1457.5,1457.5,1427.5,1442.5,0
35,2010-01-19,1442.5,1450.5,1427.5,1442.5,0
36,2010-01-20,1445.5,1446.5,1442.5,1442.5,0
37,2010-01-21,1442.5,1448.5,1427.5,1444.5,0
38,2010-01-24,1444.5,1449.5,1427.5,1442.5,0
39,2010-01-25,1442.5,1457.5,1432.5,1442.5,0
40,2010-01-26,1442.5,1459.5,1442.5,1452.5,0
41,2010-01-27,1454.5,1455.5,1451.5,1452.5,0
42,2010-01-28,1452.5,1457.5,1437.5,1452.5,0
43,2010-01-31,1437.5,1455.5,1437.5,1452.5,0
44,2010-02-01,1452.5,1458.5,1449.5,1452.5,0
45,2010-02-02,1442.5,1454.5,1442.5,1452.5,0
46,2010-02-03,1452.5,1455.5,1447.5,1452.5,0
47,2010-02-04,1452.5,1456.5,1442.5,1452.5,0
48,2010-02-07,1452.5,1452.5,1441.5,1452.5,0
49,2010-02-08,1452.5,1452.5,1427.5,1442.5,0
50,2010-02-09,1442.5,1450.5,1427.5,1442.5,0
51,2010-02-10,1442.5,1447.5,1427.5,1442.5,0
52,2010-02-11,1442.5,1444.5,1427.5,1442.5,0
53,2010-02-14,1442.5,1442.5,1442.5,1442.5,0
54,2010-02-15,1442.5,1442.5,1442.5,1442.5,0
55,2010-02-16,1442.5,1442.5,1417.5,1442.5,0
56,2010-02-17,1436.5,1442.5,1422.5,1442.5,0
57,2010-02-18,1442.5,1442.5,1417.5,1442.5,0
58,2010-02-21,1442.5,1443.5,1417.5,1432.5,0
59,2010-02-22,1432.5,1441.5,1417.5,1432.5,0
60,2010-02-23,1432.5,1443.5,1427.5,1427.5,0
61,2010-02-24,1427.5,1447.5,1427.5,1427.5,0
62,2010-02-25,1427.5,1448.5,1427.5,1427.5,0
63,2010-02-28,1442.5,1450.5,1427.5,1442.5,0
64,2010-03-01,1442.5,1444.5,1440.5,1442.5,0
65,2010-03-02,1442.5,1442.5,1427.5,1442.5,0
66,2010-03-03,1442.5,1442.5,1417.5,1422.5,0
67,2010-03-04,1407.5,1423.0,1407.5,1422.5,0
68,2010-03-07,1422.5,1422.5,1422.5,1422.5,0
69,2010-03-08,1422.5,1424.5,1421.5,1422.5,0
70,2010-03-09,1423.5,1427.5,1402.5,1417.5,0
71,2010-03-10,1417.5,1422.5,1402.5,1417.5,0
72,2010-03-11,1417.5,1418.5,1402.5,1417.5,0
73,2010-03-14,1417.5,1421.5,1402.5,1417.5,0
74,2010-03-15,1418.5,1419.5,1402.5,1417.5,0
75,2010-03-16,1417.5,1418.5,1416.5,1417.5,0
76,2010-03-17,1413.5,1417.5,1402.5,1417.5,0
77,2010-03-18,1411.5,1414.5,1402.5,1410.5,0
78,2010-03-21,1410.5,1410.5,1402.5,1410.5,0
79,2010-03-22,1396.5,1397.5,1380.5,1392.5,0
80,2010-03-23,1392.5,1392.5,1354.5,1392.5,0
81,2010-03-24,1392.5,1392.5,1352.5,1392.5,0
82,2010-03-25,1392.5,1392.5,1362.5,1392.5,0
83,2010-03-28,1392.5,1392.5,1362.5,1392.5,0
84,2010-03-29,1392.5,1392.5,1357.5,1357.5,0
