index,Date,Open,High,Low,Close,volume
1,2009-12-02,1340.5,1341.5,1337.5,1339.5,0
2,2009-12-03,1341.5,1341.5,1335.5,1340.5,0
3,2009-12-06,1340.5,1345.5,1340.5,1342.5,0
4,2009-12-07,1337.5,1341.5,1334.5,1341.5,0
5,2009-12-08,1337.5,1342.5,1335.5,1341.5,0
6,2009-12-09,1337.5,1342.5,1337.5,1340.5,0
7,2009-12-10,1340.0,1342.0,1337.0,1339.0,0
8,2009-12-13,1337.5,1339.5,1337.5,1338.5,0
9,2009-12-14,1338.0,1340.0,1336.0,1339.0,0
10,2009-12-15,1339.5,1340.5,1332.5,1339.5,0
11,2009-12-16,1339.0,1341.0,1336.0,1338.0,0
12,2009-12-17,1338.5,1339.5,1332.5,1335.5,0
13,2009-12-20,1339.0,1342.0,1335.0,1335.0,0
14,2009-12-21,1336.0,1338.0,1331.0,1331.0,0
15,2009-12-22,1336.0,1336.0,1323.0,1323.0,0
16,2009-12-23,1326.5,1327.5,1312.5,1319.5,0
17,2009-12-24,1319.5,1319.5,1319.5,1319.5,0
18,2009-12-27,1322.0,1334.0,1315.0,1330.0,0
19,2009-12-28,1329.5,1340.5,1327.5,1339.5,0
20,2009-12-29,1337.5,1338.5,1331.5,1338.5,0
21,2009-12-30,1334.5,1340.5,1332.5,1339.5,0
22,2009-12-31,1339.5,1339.5,1339.5,1339.5,0
23,2010-01-03,1337.0,1343.0,1335.0,1335.0,0
24,2010-01-04,1332.5,1340.5,1322.5,1334.5,0
25,2010-01-05,1335.0,1338.0,1327.0,1333.0,0
26,2010-01-06,1337.5,1337.5,1330.5,1332.5,0
27,2010-01-07,1332.5,1340.5,1332.5,1332.5,0
28,2010-01-10,1337.0,1341.0,1335.0,1337.0,0
29,2010-01-11,1332.5,1332.5,1332.5,1332.5,0
30,2010-01-12,1338.5,1339.5,1332.5,1338.5,0
31,2010-01-13,1340.0,1344.0,1335.0,1340.0,0
32,2010-01-14,1339.5,1346.5,1339.5,1343.5,0
33,2010-01-17,1340.5,1345.5,1334.5,1344.5,0
