index,Date,Open,High,Low,Close,Volume
1,2009-12-02,2407.3500976562,2422.2600097656,2389.0400390625,2389.0400390625,22840280
2,2009-12-03,2386.7700195312,2453.169921875,2377.9699707031,2448.25,23084112
3,2009-12-06,2430.4899902344,2443.580078125,2410.3898925781,2431.2600097656,15160670
4,2009-12-07,2420.5400390625,2438.6000976562,2369.8400878906,2374.6999511719,24541206
5,2009-12-08,2367.7600097656,2376.0300292969,2320.1298828125,2320.1298828125,26464744
6,2009-12-09,2328.7199707031,2346.1201171875,2309.9299316406,2314.2800292969,36465880
7,2009-12-10,2340.6398925781,2349.080078125,2322.080078125,2333.9699707031,25024842
8,2009-12-13,2370.5200195312,2373.2600097656,2340.1000976562,2352.0200195312,16300351
9,2009-12-14,2340.7800292969,2351.4799804688,2324.6101074219,2351.4799804688,28229280
10,2009-12-15,2353.5900878906,2371.5,2347.7299804688,2359.8798828125,21263940
11,2009-12-16,2345.0,2355.0700683594,2324.7399902344,2330.7299804688,21929696
12,2009-12-17,2330.7700195312,2346.0,2309.9499511719,2322.6398925781,70214368
13,2009-12-20,2322.3400878906,2354.7900390625,2318.6999511719,2341.8999023438,17423680
14,2009-12-21,2360.1899414062,2372.8798828125,2354.1201171875,2364.8999023438,21065686
15,2009-12-22,2372.1298828125,2375.1499023438,2352.5,2371.0700683594,38556088
16,2009-12-27,2402.9099121094,2409.5600585938,2394.9699707031,2405.0400390625,33805936
17,2009-12-28,2406.6398925781,2418.8999023438,2392.9399414062,2414.8500976562,24498032
18,2009-12-29,2411.169921875,2415.2399902344,2388.7700195312,2396.4399414062,22579110
19,2009-12-30,2402.0100097656,2403.6000976562,2387.9799804688,2388.7199707031,14015266
20,2010-01-03,2403.0100097656,2450.6298828125,2403.0100097656,2444.580078125,33102906
21,2010-01-04,2460.6298828125,2480.9099121094,2451.6298828125,2462.3000488281,52916696
22,2010-01-05,2465.919921875,2472.830078125,2447.6799316406,2472.830078125,17679028
23,2010-01-06,2434.3200683594,2448.5200195312,2427.8200683594,2436.3999023438,22040832
24,2010-01-07,2464.4699707031,2468.4899902344,2431.8999023438,2440.419921875,27650406
25,2010-01-10,2465.2700195312,2475.7600097656,2458.4599609375,2473.5,30269892
26,2010-01-11,2463.9699707031,2466.2900390625,2436.0200195312,2448.7099609375,28020624
27,2010-01-12,2432.0200195312,2462.6000976562,2427.8999023438,2458.0500488281,28193862
28,2010-01-13,2476.2299804688,2476.2299804688,2442.5300292969,2451.9799804688,25986000
29,2010-01-14,2451.0500488281,2468.7299804688,2435.2299804688,2442.3798828125,64670448
30,2010-01-17,2441.7399902344,2465.3000488281,2440.1999511719,2465.3000488281,84046560
31,2010-01-18,2461.8601074219,2489.419921875,2449.2800292969,2489.419921875,26123452
32,2010-01-19,2483.2600097656,2501.6101074219,2479.9399414062,2489.4499511719,29921152
33,2010-01-20,2484.1101074219,2489.3798828125,2455.5500488281,2470.5100097656,34328240
34,2010-01-21,2436.7700195312,2441.3999023438,2399.7299804688,2407.7800292969,76020552
35,2010-01-24,2409.9299316406,2425.9299316406,2404.3000488281,2417.8701171875,24350366
36,2010-01-25,2388.1000976562,2393.2199707031,2367.0400390625,2388.6398925781,23936816
37,2010-01-26,2385.2099609375,2396.6599121094,2371.8999023438,2373.4099121094,28139850
38,2010-01-27,2398.4099121094,2405.9499511719,2362.1000976562,2362.9299316406,31015672
39,2010-01-28,2360.5900878906,2382.6398925781,2348.6201171875,2382.6398925781,21124648
40,2010-01-31,2364.1101074219,2380.830078125,2356.8898925781,2363.1799316406,11767826
41,2010-02-01,2385.4299316406,2386.8798828125,2363.6398925781,2374.3500976562,25010246
42,2010-02-02,2397.4499511719,2402.2399902344,2375.4499511719,2383.9499511719,19636164
43,2010-02-03,2372.4299316406,2380.2900390625,2285.9399414062,2285.9399414062,35412584
44,2010-02-04,2257.8200683594,2257.8200683594,2195.6499023438,2195.6499023438,58831008
45,2010-02-07,2220.8500976562,2233.7399902344,2165.1999511719,2189.3500976562,33921972
46,2010-02-08,2216.1298828125,2231.2399902344,2205.2700195312,2205.2700195312,29721408
47,2010-02-09,2218.7600097656,2245.8898925781,2212.830078125,2215.1499023438,70208800
48,2010-02-10,2238.2800292969,2238.3400878906,2172.8798828125,2173.25,185834544
49,2010-02-11,2203.9599609375,2225.1398925781,2191.4699707031,2216.7099609375,68949648
50,2010-02-14,2230.4399414062,2259.1899414062,2218.1999511719,2259.1899414062,22185022
51,2010-02-15,2277.1499023438,2279.9899902344,2226.9699707031,2239.5300292969,57075716
52,2010-02-16,2288.9399414062,2290.0600585938,2270.8100585938,2281.919921875,61430208
53,2010-02-17,2271.3999023438,2273.8601074219,2244.8798828125,2250.7700195312,40244628
54,2010-02-18,2226.9899902344,2271.0,2223.9699707031,2249.4799804688,30131692
55,2010-02-21,2282.0300292969,2284.7399902344,2254.1599121094,2267.3000488281,15696872
56,2010-02-22,2273.75,2277.9799804688,2235.9799804688,2240.2800292969,54593104
57,2010-02-23,2233.1799316406,2243.0900878906,2218.6298828125,2233.080078125,17980622
58,2010-02-24,2235.9599609375,2248.1398925781,2185.1398925781,2198.3601074219,56916648
59,2010-02-25,2216.080078125,2265.0100097656,2205.8100585938,2265.0100097656,72902976
60,2010-02-28,2280.0100097656,2288.8500976562,2261.5200195312,2288.8500976562,20585644
61,2010-03-01,2289.8798828125,2354.1398925781,2273.8200683594,2347.580078125,44226684
62,2010-03-02,2356.080078125,2365.3200683594,2334.5300292969,2357.5400390625,67513176
